vx,Time
0.0,0.0
0.0,0.684
0.0,0.718
0.0,0.751
0.0,0.784
0.0,0.817
0.0,0.851
0.0,0.884
0.0,0.917
0.0,0.951
0.0,0.985
0.0,1.018
0.0,1.051
0.0,1.101
0.0,1.168
0.0,1.202
0.0,1.234
0.0,1.268
0.0,1.302
0.0,1.335
0.0,1.368
0.0,1.402
0.0,1.435
0.0,1.468
0.0,1.502
0.0,1.535
0.0,1.569
0.0,1.602
0.0,1.635
0.0,1.669
0.0,1.702
0.0,1.735
0.0,1.769
0.0,1.802
0.0,1.836
0.0,1.869
0.0,1.902
0.0,1.936
0.0,1.969
0.0,2.002
0.0,2.035
0.0,2.069
0.0,2.103
0.0,2.136
0.0,2.169
0.0,2.203
0.0,2.236
0.0,2.269
0.0,2.303
0.0,2.336
0.0,2.369
0.0,2.403
0.0,2.436
0.0,2.47
0.0,2.503
0.0,2.536
0.0,2.569
0.0,2.603
0.0,2.636
0.0,2.669
0.0,2.703
0.0,2.736
0.0,2.769
0.0,2.803
0.0,2.837
0.0,2.87
0.0,2.903
0.0,2.937
0.0,2.97
0.0,3.003
0.0,3.037
0.0,3.07
0.0,3.103
0.0,3.137
0.0,3.17
0.0,3.204
0.0,3.237
0.0,3.27
0.0,3.304
0.0,3.338
0.0,3.37
0.0,3.404
0.0,3.437
0.0,3.47
0.0,3.504
0.0,3.537
0.0,3.571
0.0,3.604
0.0,3.637
0.0,3.671
0.0,3.704
0.0,3.737
0.0,3.771
0.0,3.804
0.0,3.838
0.0,3.871
0.0,3.904
0.0,3.937
0.0,3.971
0.0,4.004
0.0,4.038
0.0,4.071
0.0,4.104
0.0,4.138
0.0,4.171
0.0,4.205
0.0,4.238
0.0,4.271
0.0,4.304
0.0,4.338
0.0,4.371
0.0,4.405
0.0,4.438
0.0,4.472
0.0,4.505
0.0,4.538
0.0,4.572
0.0,4.654
0.0,4.738
0.0,4.889
0.0,4.922
14.925373135339763,4.955
29.850746267437845,4.989
60.60606060707617,5.022
74.62686567669881,5.055
89.55223880231352,5.089
106.06060605069098,5.122
89.55223880231352,5.155
59.70149254135905,5.189
29.850746270679526,5.222
23.809523808797863,5.256
7.518796992389066,5.306
8.620689655038314,5.389
1.362397820169538,5.422
0.0,6.123
0.0,6.156
0.0,6.19
0.0,6.389
0.0,6.456
0.0,6.49
0.9823182711233253,6.557
3.048780487792434,7.508
75.7575757588452,7.541
104.47761194737835,7.574
104.47761193603245,7.608
89.55223880231352,7.641
74.6268656685946,7.675
60.60606060707617,7.708
104.47761194737835,7.741
149.2537313371892,7.775
151.5151515176904,7.808
164.1791044887374,7.841
164.17910447090813,7.875
121.2121212007897,7.908
75.7575757588452,7.941
74.62686567669881,7.974
88.23529411855341,8.008
74.6268656685946,8.042
75.7575757588452,8.075
74.62686567669881,8.108
74.6268656685946,8.142
74.6268656685946,8.175
60.60606060707617,8.209
75.7575757588452,8.241
88.23529411855341,8.275
104.47761193603245,8.309
121.21212121415233,8.342
104.47761194737835,8.375
89.55223880231352,8.409
90.90909090059228,8.442
89.55223880231352,8.475
89.55223881203858,8.509
75.7575757588452,8.542
44.77611940115676,8.575
44.77611940601929,8.609
60.60606060707617,8.642
59.70149253487569,8.675
59.70149253487569,8.709
59.70149253487569,8.742
59.70149254135905,8.776
45.45454545530713,8.809
29.850746267437845,8.842
29.850746270679526,8.876
15.151515151769042,8.909
0.0,8.942
0.0,8.976
14.925373133718923,9.009
14.925373135339763,9.043
0.0,9.076
0.0,9.109
14.705882353092234,9.143
15.151515151769042,9.177
15.151515151769042,9.209
23.809523808797863,9.243
24.096385542540446,9.293
45.45454545530713,9.326
89.55223880231352,9.359
89.55223881203858,9.393
89.55223880231352,9.426
104.47761193603245,9.46
75.7575757588452,9.493
59.70149253487569,9.526
59.70149254135905,9.56
60.60606060707617,9.593
44.77611940115676,9.626
29.850746270679526,9.66
29.850746267437845,9.693
29.850746267437845,9.727
10.00000000014552,9.76
10.00000000014552,9.827
14.925373135339763,9.86
14.925373133718923,9.894
30.303030300197424,9.927
44.77611940115676,9.96
44.77611940601929,9.994
45.45454545530713,10.027
59.70149253487569,10.06
59.70149254135905,10.094
74.62686567669881,10.127
59.70149253487569,10.161
45.45454545029614,10.194
60.60606060707617,10.227
59.70149254135905,10.26
44.77611940115676,10.294
30.303030303538083,10.327
29.850746270679526,10.36
29.850746267437845,10.394
29.850746267437845,10.427
44.77611940115676,10.461
45.45454545530713,10.494
30.303030303538083,10.527
44.77611940115676,10.56
58.823529412368934,10.594
74.62686567669881,10.628
75.7575757588452,10.661
60.60606060039485,10.694
44.77611940115676,10.727
29.850746270679526,10.761
44.77611940601929,10.794
44.77611940115676,10.828
29.850746267437845,10.861
45.45454545530713,10.895
60.60606060707617,10.927
74.6268656685946,10.961
75.7575757588452,10.994
44.77611940601929,11.027
44.77611940115676,11.061
44.77611940115676,11.094
44.77611940601929,11.128
44.77611940601929,11.161
44.77611940115676,11.195
60.60606060039485,11.228
59.70149253487569,11.261
74.62686567669881,11.295
75.7575757588452,11.328
59.70149253487569,11.361
59.70149254135905,11.395
75.7575757588452,11.428
89.55223880231352,11.461
74.6268656685946,11.495
89.55223880231352,11.528
104.47761194737835,11.562
89.55223881203858,11.595
106.06060606238329,11.629
121.21212121415233,11.661
117.64705882473787,11.695
104.47761193603245,11.729
106.06060605069098,11.762
104.47761193603245,11.795
89.55223881203858,11.829
89.55223881203858,11.862
89.55223880231352,11.896
90.90909091061425,11.929
90.90909091061425,11.962
89.55223880231352,11.995
74.6268656685946,12.029
89.55223880231352,12.062
104.47761194737835,12.096
106.06060606238329,12.129
89.55223880231352,12.162
74.62686567669881,12.196
106.06060606238329,12.229
119.40298506975138,12.262
134.3283582034703,12.296
136.36363636592137,12.329
149.25373135339763,12.362
149.2537313371892,12.396
151.5151515176904,12.429
164.17910447090813,12.462
149.2537313371892,12.496
136.36363636592137,12.529
89.55223880231352,12.562
74.62686567669881,12.596
74.62686567669881,12.629
59.70149253487569,12.663
45.45454545530713,12.696
15.037593984778132,12.729
4.9751243780864005,12.829
0.0,12.93
0.0,12.963
0.0,12.996
0.0,13.03
0.0,13.063
0.0,13.096
0.0,13.13
0.0,13.163
0.0,13.197
15.151515150098712,13.23
29.850746267437845,13.263
29.850746270679526,13.297
45.45454545530713,13.33
59.70149253487569,13.363
74.62686567669881,13.397
74.62686567669881,13.43
89.55223880231352,13.464
121.2121212007897,13.497
119.40298506975138,13.53
89.55223881203858,13.564
75.7575757588452,13.597
89.55223880231352,13.63
74.62686567669881,13.664
75.7575757588452,13.697
89.55223880231352,13.73
89.55223880231352,13.764
90.90909091061425,13.797
89.55223881203858,13.83
89.55223880231352,13.864
119.40298506975138,13.897
119.4029850827181,13.931
90.90909091061425,13.964
90.90909090059228,13.997
102.94117647164565,14.03
132.3529411778301,14.065
136.36363636592137,14.098
121.21212121415233,14.131
149.2537313371892,14.164
149.25373135339763,14.198
136.36363636592137,14.231
134.3283582034703,14.264
119.40298506975138,14.298
134.3283582034703,14.331
134.32835821805787,14.365
121.21212121415233,14.398
102.94117647164565,14.431
119.4029850827181,14.466
138.46153845657875,14.498
134.3283582034703,14.531
149.2537313371892,14.565
164.17910447090813,14.598
164.1791044887374,14.632
134.32835821805787,14.665
164.17910447090813,14.699
166.66666666945946,14.732
149.2537313371892,14.765
164.17910447090813,14.799
181.8181818212285,14.832
164.17910447090813,14.865
164.1791044887374,14.899
179.10447762407716,14.932
149.2537313371892,14.966
151.51515150098712,14.999
166.66666666945946,15.032
164.1791044887374,15.065
134.3283582034703,15.099
151.5151515176904,15.132
164.1791044887374,15.165
179.10447760462705,15.199
196.96969697299755,15.232
208.9552238720649,15.265
194.02985073834597,15.299
212.12121212476657,15.332
205.8823529432913,15.365
179.10447762407716,15.4
215.38461537690029,15.432
164.17910447090813,15.465
119.40298506975138,15.499
164.17910447090813,15.532
179.10447762407716,15.566
166.66666666945946,15.599
164.17910447090813,15.632
149.25373135339763,15.666
151.5151515176904,15.699
