x,Time
653,43.543
654,43.576
655,43.61
656,43.643
657,43.676
657,43.709
658,43.743
659,43.776
660,43.81
661,43.843
662,43.877
662,43.91
663,43.944
664,44.043
665,44.094
665,44.127
666,44.16
667,44.194
668,44.227
668,44.261
669,44.294
669,44.377
670,44.41
671,44.444
673,44.477
674,44.51
675,44.544
676,44.577
677,44.628
678,44.795
678,44.877
678,45.011
678,45.128
678,45.245
678,45.528
678,45.628
678,45.678
678,45.728
678,45.762
678,45.795
678,45.828
678,45.879
678,45.912
678,45.945
678,45.978
677,46.012
677,46.045
676,46.079
676,46.112
675,46.146
674,46.213
673,46.262
672,46.329
671,46.396
671,46.429
670,46.462
669,46.496
668,46.53
666,46.563
665,46.597
664,46.663
663,46.747
662,46.83
659,46.864
656,46.896
652,46.93
650,46.963
648,46.997
646,47.03
644,47.063
642,47.097
640,47.13
638,47.163
636,47.196
634,47.23
633,47.28
632,47.313
632,47.346
631,47.38
630,47.431
630,47.463
629,47.514
629,47.547
629,47.58
629,47.613
629,47.648
629,47.68
629,47.713
629,47.747
629,47.78
629,47.814
629,47.847
628,47.88
628,47.914
628,47.948
627,47.981
627,48.014
627,48.047
627,48.081
626,48.115
626,48.147
626,48.181
626,48.214
625,48.248
625,48.281
625,48.315
625,48.348
625,48.382
625,48.415
625,48.447
625,48.481
625,48.515
625,48.548
625,48.581
625,48.615
625,48.648
626,48.681
626,48.715
626,48.748
626,48.782
627,48.815
627,48.849
627,48.881
627,48.915
627,48.948
627,48.981
627,49.015
627,49.048
627,49.082
627,49.115
627,49.148
627,49.182
627,49.215
627,49.248
627,49.281
627,49.315
627,49.348
628,49.382
628,49.415
628,49.449
628,49.482
628,49.516
628,49.549
628,49.599
629,49.632
630,49.665
633,49.7
636,49.732
637,49.765
638,49.799
639,49.833
639,49.932
640,49.965
640,50.166
640,50.216
640,50.299
640,50.366
641,50.4
641,50.433
643,50.467
644,50.5
645,50.533
647,50.566
648,50.6
649,50.65
650,50.683
651,50.717
653,50.75
655,50.783
657,50.818
658,50.851
659,50.884
660,50.968
661,51.167
663,51.201
666,51.234
668,51.267
669,51.3
670,51.334
671,51.417
670,51.451
670,51.5
670,51.684
670,51.817
672,51.852
673,51.901
674,51.935
675,51.967
676,52.017
676,52.051
677,52.085
677,52.151
678,52.218
678,52.268
679,52.401
680,52.719
681,52.836
681,52.902
682,52.952
683,52.985
684,53.019
685,53.052
686,53.085
687,53.119
688,53.152
689,53.185
692,53.219
693,53.253
695,53.286
696,53.319
697,53.402
697,53.436
697,53.469
697,53.502
697,53.552
697,53.602
697,53.652
697,53.719
697,53.786
698,53.82
699,53.853
700,53.903
700,53.936
701,53.97
702,54.003
703,54.036
705,54.07
706,54.137
707,54.186
708,54.22
709,54.254
710,54.286
711,54.32
711,54.37
713,54.404
714,54.453
714,54.504
715,54.538
716,54.621
716,54.654
716,54.687
716,54.755
716,54.837
716,54.954
717,54.987
718,55.038
719,55.104
722,55.137
724,55.171
726,55.205
727,55.255
728,55.321
728,55.621
729,55.655
730,55.688
731,55.738
731,55.771
732,55.805
733,55.838
734,55.872
736,55.905
739,55.938
741,55.972
742,56.005
743,56.038
744,56.138
746,56.172
751,56.205
753,56.239
754,56.272
755,56.305
755,56.74
755,56.84
755,56.923
755,57.057
756,57.24
757,57.273
759,57.306
761,57.34
762,57.374
763,57.423
764,57.54
763,57.656
762,57.741
761,57.807
760,57.857
760,58.291
760,58.324
760,58.358
760,58.392
760,58.424
760,58.457
760,58.491
760,58.525
760,58.557
760,58.591
760,58.625
760,58.691
759,58.725
759,58.792
759,58.858
759,58.908
760,58.942
760,58.975
760,59.008
761,59.041
761,59.075
761,59.125
762,59.158
763,59.241
764,59.375
762,59.493
762,59.927
762,60.042
762,60.076
762,60.109
762,60.143
762,60.209
762,60.309
762,60.426
762,60.627
762,60.676
762,60.71
762,60.743
762,60.776
762,60.809
762,60.843
762,60.876
762,60.91
762,60.943
762,60.976
762,61.01
762,61.043
762,61.078
762,61.11
762,61.16
762,61.21
762,61.243
762,61.277
762,61.311
762,61.344
762,61.377
762,61.41
762,61.444
762,61.477
762,61.511
762,61.544
762,61.577
762,61.611
762,61.644
762,61.677
762,61.711
762,61.745
762,61.778
762,61.811
762,61.845
762,61.878
762,61.912
