x,Time
0,0.0
3,14.147
5,14.18
7,14.215
10,14.247
12,14.281
14,14.314
17,14.347
20,14.381
24,14.414
27,14.447
30,14.481
33,14.514
38,14.548
42,14.581
47,14.615
53,14.648
58,14.681
63,14.715
69,14.748
76,14.782
81,14.815
86,14.848
94,14.881
100,14.915
109,14.948
116,14.981
122,15.015
129,15.048
137,15.081
144,15.115
151,15.148
158,15.181
165,15.215
172,15.248
182,15.282
190,15.315
201,15.348
212,15.381
223,15.415
234,15.448
244,15.482
254,15.515
264,15.548
276,15.582
286,15.615
295,15.649
304,15.682
315,15.715
322,15.749
330,15.782
340,15.815
348,15.849
357,15.882
368,15.915
377,15.949
385,15.982
394,16.015
403,16.049
411,16.082
421,16.115
430,16.149
438,16.182
447,16.215
455,16.249
464,16.282
472,16.316
480,16.349
490,16.383
495,16.416
503,16.45
509,16.483
513,16.516
521,16.55
526,16.583
531,16.616
535,16.65
539,16.683
543,16.716
548,16.75
550,16.783
554,16.816
557,16.85
561,16.883
563,16.917
565,16.95
567,16.983
568,17.017
569,17.05
570,17.084
571,17.117
572,17.15
574,17.183
575,17.217
577,17.25
578,17.284
579,17.317
580,17.35
582,17.384
583,17.417
584,17.45
586,17.484
587,17.517
588,17.55
589,17.601
590,17.634
591,17.667
592,17.701
594,17.734
595,17.767
596,17.834
597,17.985
597,18.702
597,18.735
597,18.768
597,18.801
597,18.835
597,18.868
597,18.902
597,18.935
597,18.968
597,19.003
597,19.036
597,19.069
597,19.102
597,19.135
597,19.169
597,19.202
597,19.235
597,19.27
597,19.302
597,19.335
597,19.369
597,19.403
597,19.436
597,19.502
597,19.536
597,19.569
597,19.603
597,19.636
597,19.669
597,19.703
597,19.736
597,19.77
597,19.803
597,19.836
597,19.869
597,19.903
597,19.936
597,19.969
597,20.003
597,20.036
597,20.07
597,20.12
597,22.272
597,22.305
597,22.339
597,22.372
597,22.405
597,22.439
597,22.472
597,22.505
597,22.939
597,22.973
597,23.006
597,23.039
597,23.073
597,23.106
597,23.139
597,23.222
597,23.34
597,23.373
597,23.407
597,23.44
597,23.473
597,23.506
597,23.54
597,23.573
