y,Time
0,0.0
0,4.555
0,4.589
0,4.622
0,4.656
0,4.689
0,4.722
0,4.756
0,4.79
0,4.823
0,4.856
0,4.889
0,4.973
0,5.123
3,5.24
4,5.289
5,5.323
7,5.356
9,5.39
12,5.423
15,5.456
19,5.49
22,5.523
24,5.556
26,5.59
28,5.623
30,5.657
32,5.689
35,5.723
38,5.757
40,5.79
42,5.823
45,5.857
46,5.891
49,5.924
52,5.957
55,5.99
58,6.024
59,6.058
60,6.091
61,6.124
61,6.157
61,6.208
61,6.241
61,6.273
61,6.307
61,6.341
61,6.374
61,6.407
61,6.441
62,6.474
62,6.507
62,6.54
64,6.574
68,6.607
71,6.641
74,6.674
76,6.708
77,6.741
79,6.774
80,6.808
82,6.841
85,6.874
90,6.908
93,6.941
94,6.974
95,7.007
96,7.041
97,7.141
98,7.209
99,7.242
100,7.275
102,7.309
104,7.341
106,7.375
109,7.408
112,7.441
114,7.475
116,7.509
118,7.542
119,7.575
120,7.609
121,7.642
122,7.842
123,10.244
123,11.362
123,11.495
123,11.896
123,11.929
123,11.963
123,11.996
123,12.03
123,12.063
123,12.096
123,12.13
123,12.162
123,12.197
123,12.229
124,12.264
124,12.314
125,12.396
125,12.48
125,12.514
125,12.547
125,12.58
125,12.614
125,12.648
125,12.68
125,12.713
125,12.748
125,12.78
125,12.814
125,12.848
125,12.881
125,12.913
125,12.947
125,12.997
125,13.031
125,13.064
125,13.114
125,13.147
126,13.414
127,14.031
130,14.232
132,14.783
133,14.815
134,14.849
135,14.882
136,14.949
137,15.066
138,15.116
139,15.149
140,15.182
142,15.216
143,15.249
144,15.282
145,15.382
146,15.483
150,15.516
149,16.15
150,16.183
151,16.217
152,16.317
152,16.5
152,16.533
152,16.567
152,16.6
152,16.634
152,16.668
152,16.701
152,16.734
152,16.767
152,16.801
152,16.834
152,16.867
152,16.901
152,16.935
152,16.968
152,17.001
152,17.034
153,17.101
153,17.151
154,17.235
155,17.269
156,17.302
157,17.336
159,17.369
160,17.401
162,17.435
163,17.469
164,17.501
165,17.536
166,17.569
167,17.619
168,17.669
169,17.719
170,17.752
171,17.801
172,17.852
173,17.901
174,17.952
175,18.019
175,18.686
175,18.719
175,18.754
175,18.786
175,18.819
175,18.853
175,18.887
175,18.92
175,18.953
175,18.986
175,19.02
175,19.054
176,19.086
176,19.12
176,19.153
177,19.186
178,19.221
180,19.254
182,19.286
183,19.32
184,19.353
185,19.386
186,19.453
186,19.504
187,19.587
187,20.055
187,20.087
187,20.121
187,20.154
187,20.187
187,20.221
187,20.254
187,20.287
187,20.321
187,20.354
187,20.388
187,20.421
187,20.454
187,20.539
187,20.589
187,20.621
187,20.654
187,20.689
187,20.789
187,21.472
187,21.522
187,21.589
187,21.757
187,21.856
187,21.923
187,22.006
187,22.089
187,22.139
187,22.19
187,22.223
187,22.322
187,22.389
187,22.423
187,22.473
187,22.523
187,22.59
187,22.656
187,22.706
188,22.757
188,22.84
189,23.174
190,23.24
191,23.273
192,23.307
193,23.357
194,23.474
194,24.091
194,24.125
194,24.159
194,24.192
194,24.225
194,24.259
194,24.291
194,24.325
194,24.359
194,24.392
194,24.426
194,24.459
194,24.491
194,24.525
194,24.559
194,24.676
194,24.825
194,24.859
194,24.892
194,24.925
194,24.959
194,24.992
194,25.026
194,25.06
194,25.093
194,25.126
194,25.159
194,25.193
194,25.225
194,25.259
194,25.292
194,25.327
195,25.36
195,25.426
195,25.477
196,25.51
197,25.544
199,25.576
200,25.61
202,25.643
203,25.677
204,25.711
205,25.743
206,25.776
207,25.826
207,25.861
208,25.894
209,25.926
210,25.959
211,25.993
212,26.027
214,26.06
216,26.094
218,26.126
220,26.16
222,26.193
224,26.227
225,26.26
226,26.293
227,26.327
228,26.377
229,27.795
230,27.861
232,27.895
238,27.929
242,27.962
245,27.995
249,28.028
252,28.062
253,28.096
255,28.13
256,28.162
257,28.196
258,28.229
259,28.312
258,28.529
257,28.679
256,29.463
256,29.563
256,29.597
256,29.63
256,29.664
256,29.697
256,29.731
256,29.763
256,29.864
256,29.897
256,29.931
256,29.964
256,29.997
256,30.031
256,30.064
256,30.097
256,30.148
255,30.215
253,30.248
249,30.28
244,30.314
241,30.349
239,30.382
238,30.416
237,30.448
237,30.482
