y,Time
0,0.0
4,0.684
6,0.718
8,0.751
9,0.784
10,0.817
11,0.851
13,0.884
14,0.917
15,0.951
16,0.985
17,1.018
19,1.051
20,1.101
21,1.168
22,1.202
23,1.234
25,1.268
28,1.302
30,1.335
33,1.368
36,1.402
39,1.435
41,1.468
43,1.502
50,1.535
57,1.569
65,1.602
72,1.635
79,1.669
86,1.702
92,1.735
100,1.769
104,1.802
112,1.836
119,1.869
125,1.902
131,1.936
140,1.969
146,2.002
154,2.035
164,2.069
173,2.103
184,2.136
194,2.169
202,2.203
209,2.236
216,2.269
224,2.303
231,2.336
237,2.369
246,2.403
254,2.436
264,2.47
272,2.503
282,2.536
290,2.569
298,2.603
306,2.636
315,2.669
324,2.703
334,2.736
344,2.769
354,2.803
366,2.837
379,2.87
396,2.903
408,2.937
422,2.97
438,3.003
453,3.037
467,3.07
480,3.103
492,3.137
507,3.17
519,3.204
530,3.237
541,3.27
555,3.304
566,3.338
577,3.37
592,3.404
603,3.437
615,3.47
627,3.504
639,3.537
651,3.571
664,3.604
674,3.637
685,3.671
694,3.704
705,3.737
713,3.771
722,3.804
728,3.838
735,3.871
742,3.904
746,3.937
752,3.971
758,4.004
762,4.038
769,4.071
776,4.104
784,4.138
791,4.171
796,4.205
802,4.238
808,4.271
813,4.304
819,4.338
823,4.371
829,4.405
833,4.438
837,4.472
839,4.505
840,4.538
841,4.572
842,4.654
843,4.738
842,4.889
836,4.922
829,4.955
818,4.989
809,5.022
804,5.055
802,5.089
800,5.122
799,5.155
799,5.189
799,5.222
799,5.256
799,5.306
800,5.389
801,5.422
803,6.123
804,6.156
805,6.19
806,6.389
807,6.456
808,6.49
809,6.557
809,7.508
809,7.541
809,7.574
809,7.608
809,7.641
809,7.675
809,7.708
809,7.741
809,7.775
809,7.808
809,7.841
809,7.875
809,7.908
809,7.941
809,7.974
809,8.008
809,8.042
809,8.075
809,8.108
809,8.142
809,8.175
809,8.209
809,8.241
810,8.275
811,8.309
812,8.342
814,8.375
815,8.409
816,8.442
817,8.475
818,8.509
818,8.542
819,8.575
820,8.609
820,8.642
821,8.675
822,8.709
824,8.742
828,8.776
833,8.809
838,8.842
842,8.876
848,8.909
852,8.942
858,8.976
863,9.009
868,9.043
873,9.076
876,9.109
878,9.143
880,9.177
882,9.209
883,9.243
883,9.293
884,9.326
884,9.359
884,9.393
885,9.426
885,9.46
886,9.493
887,9.526
888,9.56
889,9.593
889,9.626
890,9.66
891,9.693
891,9.727
891,9.76
892,9.827
893,9.86
896,9.894
900,9.927
906,9.96
911,9.994
915,10.027
917,10.06
919,10.094
920,10.127
921,10.161
921,10.194
922,10.227
923,10.26
924,10.294
925,10.327
926,10.36
928,10.394
930,10.427
932,10.461
934,10.494
936,10.527
938,10.56
940,10.594
941,10.628
943,10.661
944,10.694
945,10.727
945,10.761
946,10.794
948,10.828
950,10.861
951,10.895
953,10.927
955,10.961
958,10.994
960,11.027
962,11.061
965,11.094
969,11.128
973,11.161
976,11.195
980,11.228
984,11.261
987,11.295
990,11.328
993,11.361
997,11.395
999,11.428
1002,11.461
1005,11.495
1007,11.528
1009,11.562
1011,11.595
1012,11.629
1013,11.661
1014,11.695
1016,11.729
1017,11.762
1018,11.795
1019,11.829
1020,11.862
1021,11.896
1023,11.929
1024,11.962
1025,11.995
1026,12.029
1027,12.062
1027,12.096
1028,12.129
1028,12.162
1028,12.196
1029,12.229
1029,12.262
1029,12.296
1029,12.329
1030,12.362
1030,12.396
1034,12.429
1034,12.462
1034,12.496
1034,12.529
1034,12.562
1034,12.596
1034,12.629
1034,12.663
1034,12.696
1034,12.729
1034,12.829
1037,12.93
1043,12.963
1047,12.996
1051,13.03
1056,13.063
1060,13.096
1064,13.13
1067,13.163
1069,13.197
1071,13.23
1072,13.263
1073,13.297
1074,13.33
1075,13.363
1076,13.397
1076,13.43
1077,13.464
1077,13.497
1077,13.53
1077,13.564
1077,13.597
1077,13.63
1077,13.664
1077,13.697
1077,13.73
1077,13.764
1077,13.797
1077,13.83
1077,13.864
1077,13.897
1078,13.931
1078,13.964
1080,13.997
1081,14.03
1083,14.065
1087,14.098
1090,14.131
1093,14.164
1098,14.198
1101,14.231
1104,14.264
1106,14.298
1108,14.331
1110,14.365
1111,14.398
1113,14.431
1115,14.466
1117,14.498
1118,14.531
1119,14.565
1120,14.598
1120,14.632
1121,14.665
1121,14.699
1121,14.732
1121,14.765
1122,14.799
1122,14.832
1122,14.865
1122,14.899
1123,14.932
1123,14.966
1123,14.999
1123,15.032
1123,15.065
1123,15.099
1123,15.132
1123,15.165
1124,15.199
1126,15.232
1128,15.265
1132,15.299
1136,15.332
1141,15.365
1144,15.4
1145,15.432
1147,15.465
1148,15.499
1149,15.532
1150,15.566
1151,15.599
1152,15.632
1153,15.666
1153,15.699
1154,15.732
1155,15.766
1156,15.799
1157,15.833
1158,15.866
1159,15.899
1161,15.933
1162,15.966
1163,16.0
1164,16.032
1164,16.066
1165,16.1
1165,16.133
1166,16.166
1166,16.2
1166,16.233
1166,16.266
1166,16.299
1166,16.333
1166,16.367
1166,16.4
1166,16.433
1166,16.467
1166,16.5
1165,16.533
1165,16.568
1164,16.6
1164,16.633
1162,16.668
1161,16.7
1160,16.734
1160,16.767
1159,16.8
1159,16.833
1158,16.867
1158,16.9
1157,16.934
1157,16.967
1155,17.0
1154,17.034
1153,17.067
1152,17.1
1151,17.134
1151,17.167
1151,17.201
1150,17.234
1150,17.267
1150,17.3
1150,17.334
1150,17.367
1150,17.401
1150,17.434
1150,17.467
1150,17.501
1150,17.534
1150,17.568
1150,17.601
1150,17.634
1150,17.667
1150,17.701
1150,17.735
1150,17.768
1150,17.801
1150,17.835
1150,17.868
1150,17.901
1150,17.935
1150,17.968
1150,18.001
1150,18.035
1150,18.068
1150,18.101
1150,18.135
1150,18.169
1150,18.202
1150,18.235
1150,18.269
1150,18.302
1150,18.335
1150,18.369
1150,18.402
1150,18.435
1150,18.469
1150,18.502
1150,18.535
1151,18.569
1151,18.602
1151,18.635
1151,18.669
1152,18.702
1152,18.736
1152,18.769
1152,18.802
1153,18.836
1153,18.869
1153,18.902
1153,18.936
1153,18.969
1153,19.002
1154,19.036
1154,19.069
1154,19.103
1154,19.136
1155,19.169
1157,19.203
1158,19.236
1158,19.269
1159,19.303
1159,19.336
1160,19.369
1161,19.403
1163,19.436
1164,19.469
