x,Time
0,0.0
0,0.684
0,0.718
0,0.751
0,0.784
0,0.817
0,0.851
0,0.884
0,0.917
0,0.951
0,0.985
0,1.018
0,1.051
0,1.101
0,1.168
0,1.202
0,1.234
0,1.268
0,1.302
0,1.335
0,1.368
0,1.402
0,1.435
0,1.468
0,1.502
0,1.535
0,1.569
0,1.602
0,1.635
0,1.669
0,1.702
0,1.735
0,1.769
0,1.802
0,1.836
0,1.869
0,1.902
0,1.936
0,1.969
0,2.002
0,2.035
0,2.069
0,2.103
0,2.136
0,2.169
0,2.203
0,2.236
0,2.269
0,2.303
0,2.336
0,2.369
0,2.403
0,2.436
0,2.47
0,2.503
0,2.536
0,2.569
0,2.603
0,2.636
0,2.669
0,2.703
0,2.736
0,2.769
0,2.803
0,2.837
0,2.87
0,2.903
0,2.937
0,2.97
0,3.003
0,3.037
0,3.07
0,3.103
0,3.137
0,3.17
0,3.204
0,3.237
0,3.27
0,3.304
0,3.338
0,3.37
0,3.404
0,3.437
0,3.47
0,3.504
0,3.537
0,3.571
0,3.604
0,3.637
0,3.671
0,3.704
0,3.737
0,3.771
0,3.804
0,3.838
0,3.871
0,3.904
0,3.937
0,3.971
0,4.004
0,4.038
0,4.071
0,4.104
0,4.138
0,4.171
0,4.205
0,4.238
0,4.271
0,4.304
0,4.338
0,4.371
0,4.405
0,4.438
0,4.472
0,4.505
0,4.538
0,4.572
0,4.654
0,4.738
0,4.889
0,4.922
0,4.955
1,4.989
2,5.022
5,5.055
7,5.089
11,5.122
14,5.155
17,5.189
18,5.222
19,5.256
20,5.306
20,5.389
21,5.422
21,6.123
21,6.156
21,6.19
21,6.389
21,6.456
21,6.49
21,6.557
22,7.508
24,7.541
27,7.574
31,7.608
34,7.641
37,7.675
39,7.708
41,7.741
46,7.775
51,7.808
56,7.841
62,7.875
67,7.908
70,7.941
72,7.974
75,8.008
78,8.042
80,8.075
83,8.108
85,8.142
88,8.175
90,8.209
92,8.241
95,8.275
98,8.309
102,8.342
106,8.375
109,8.409
112,8.442
115,8.475
118,8.509
121,8.542
123,8.575
124,8.609
126,8.642
128,8.675
130,8.709
132,8.742
134,8.776
136,8.809
137,8.842
138,8.876
139,8.909
139,8.942
139,8.976
139,9.009
140,9.043
140,9.076
140,9.109
140,9.143
141,9.177
141,9.209
142,9.243
143,9.293
144,9.326
146,9.359
150,9.393
152,9.426
156,9.46
159,9.493
161,9.526
163,9.56
165,9.593
167,9.626
168,9.66
169,9.693
170,9.727
171,9.76
171,9.827
172,9.86
172,9.894
173,9.927
174,9.96
176,9.994
177,10.027
179,10.06
181,10.094
183,10.127
186,10.161
187,10.194
189,10.227
191,10.26
193,10.294
194,10.327
195,10.36
196,10.394
197,10.427
198,10.461
200,10.494
201,10.527
202,10.56
204,10.594
206,10.628
209,10.661
211,10.694
213,10.727
214,10.761
215,10.794
217,10.828
218,10.861
219,10.895
221,10.927
223,10.961
226,10.994
228,11.027
229,11.061
231,11.094
232,11.128
234,11.161
235,11.195
237,11.228
239,11.261
241,11.295
244,11.328
246,11.361
248,11.395
250,11.428
253,11.461
256,11.495
258,11.528
262,11.562
265,11.595
268,11.629
272,11.661
276,11.695
280,11.729
283,11.762
287,11.795
290,11.829
293,11.862
296,11.896
