vy,Time
0,0.0
0,5.338
0,5.372
0,5.405
0,5.439
0,5.472
0,5.505
0,5.538
0,5.572
0,5.605
0,5.639
0,5.672
0,5.705
0,5.739
0,5.773
0,5.806
0,5.839
0,5.872
0,5.906
0,5.939
0,5.973
0,6.006
0,6.039
0,6.072
0,6.106
0,6.139
0,6.172
0,6.206
0,6.24
0,6.272
0,6.306
0,6.339
0,6.373
0,6.406
0,6.44
0,6.473
0,6.507
0,6.54
0,6.573
0,6.606
0,6.639
0,6.673
0,6.706
0,6.74
0,6.773
0,6.823
0,6.907
0,7.857
0,7.975
0,9.76
0,11.561
0,11.628
0,11.661
0,11.694
0,11.744
0,11.812
0,12.061
0,12.111
0,12.162
0,12.195
0,12.229
0,12.262
0,12.295
0,12.328
0,12.362
0,12.396
0,12.429
0,12.462
0,12.496
0,12.529
0,12.562
0,12.596
0,12.629
0,12.662
0,12.696
0,12.729
0,12.763
0,12.796
0,12.829
0,12.863
0,12.896
0,12.929
0,12.963
0,12.996
0,13.029
0,13.063
0,13.096
0,13.129
0,13.163
0,13.196
0,13.229
0,13.263
0,13.297
0,13.329
0,13.363
0,13.397
0,13.43
0,13.463
0,13.497
0,13.53
0,13.563
0,13.597
0,13.63
0,13.663
0,13.697
0,13.73
0,13.763
0,13.797
0,13.847
0,13.88
0,13.914
0,13.947
0,13.98
0,14.014
0,14.047
0,14.08
0,14.114
0,14.147
0,14.181
0,14.214
0,14.247
0,14.28
0,14.314
0,14.347
0,14.38
0,14.414
0,14.464
0,14.531
0,14.631
0,14.764
0,14.865
0,14.915
0,14.948
0,14.981
0,15.015
0,15.048
0,15.082
0,15.115
0,15.148
0,15.182
0,15.231
0,15.348
0,15.415
0,15.466
0,15.532
0,15.582
0,15.665
0,15.749
0,15.799
0,15.865
235.2941176470663,15.899
363.63636363634987,15.932
212.1212121212155,15.965
147.05882352940876,15.999
151.51515151515392,16.032
58.82352941176657,16.066
90.90909090908747,16.099
29.411764705883286,16.133
30.303030303029153,16.166
30.303030303029153,16.199
29.411764705883286,16.233
8.62068965517244,16.349
0,16.383
0,16.449
0,16.5
0,16.533
0,16.567
0,16.6
0,16.633
0,16.667
0,16.7
0,16.733
0,16.767
0,16.817
0,16.85
0,16.883
0,16.917
0,16.95
-30.303030303029153,16.983
0,17.017
-30.303030303029153,17.05
-30.30303030303242,17.083
-29.411764705880213,17.117
-30.30303030303242,17.15
-29.411764705880213,17.184
0,17.217
0,17.25
-29.411764705883286,17.284
0,17.317
0,17.35
0,17.384
0,17.417
0,17.45
0,17.484
0,17.517
0,17.551
0,17.584
0,17.617
-30.30303030303242,17.65
0,17.684
0,17.717
0,17.751
0,17.784
0,17.818
0,17.851
0,17.884
0,17.917
29.411764705883286,17.951
0,17.984
0,18.017
29.411764705883286,18.051
0,18.084
0,18.118
0,18.151
30.303030303029153,18.184
0,18.218
30.303030303029153,18.251
29.411764705883286,18.285
30.303030303029153,18.318
30.30303030303242,18.351
30.303030303029153,18.384
29.411764705883286,18.418
29.411764705880213,18.452
30.30303030303242,18.485
30.303030303029153,18.518
29.411764705883286,18.552
30.303030303029153,18.585
30.30303030303242,18.618
0,18.652
30.30303030303242,18.685
0,18.719
0,18.753
31.24999999999997,18.785
0,18.819
0,18.852
0,18.885
0,18.919
30.303030303029153,18.952
30.30303030303242,18.985
29.411764705883286,19.019
30.303030303029153,19.052
60.60606060605831,19.085
58.82352941176657,19.119
30.303030303029153,19.152
58.82352941176657,19.186
60.60606060605831,19.219
60.60606060606484,19.252
90.90909090908747,19.285
58.82352941176657,19.319
88.23529411764065,19.353
62.49999999999994,19.385
29.411764705883286,19.419
30.303030303029153,19.452
0,19.486
30.30303030303242,19.519
0,19.553
0,19.586
30.303030303029153,19.619
0,19.652
0,19.686
0,19.719
0,19.753
0,19.786
0,19.836
0,19.919
12.820512820512919,20.153
14.92537313432832,20.22
12.048192771084052,20.303
29.411764705883286,20.337
212.12121212120408,20.37
181.8181818181945,20.403
88.23529411764065,20.437
30.30303030303242,20.47
9.999999999999858,20.57
-29.411764705883286,20.604
-12.048192771084052,20.687
-20.000000000001137,20.737
-19.999999999999716,20.787
0,20.821
0,20.871
-30.303030303029153,20.904
0,20.937
0,20.971
0,21.004
0,21.037
0,21.071
0,21.121
0,21.237
0,21.271
0,21.304
0,21.338
0,21.371
0,21.404
29.411764705883286,21.438
0,21.471
0,21.505
30.303030303029153,21.538
0,21.572
0,21.604
0,21.638
0,21.672
0,21.705
0,21.738
0,21.772
0,21.805
0,21.839
0,21.872
0,21.905
0,21.939
0,21.972
-30.30303030303242,22.005
0,22.039
0,22.072
0,22.105
0,22.138
0,22.172
0,22.205
0,22.238
0,22.272
0,22.305
30.303030303029153,22.338
0,22.372
0,22.405
0,22.439
0,22.472
29.411764705883286,22.506
0,22.539
0,22.572
0,22.606
0,22.639
0,22.673
0,22.706
0,22.739
0,22.772
0,22.806
0,22.839
29.411764705880213,22.873
0,22.906
0,22.939
0,22.973
0,23.007
31.24999999999997,23.039
0,23.073
58.82352941176657,23.107
31.24999999999997,23.139
29.411764705883286,23.173
29.411764705880213,23.207
62.49999999999994,23.239
29.411764705883286,23.273
19.999999999999716,23.323
29.411764705883286,23.357
15.151515151515392,23.423
0,23.457
30.30303030303242,23.49
0,23.523
29.411764705883286,23.557
0,23.59
30.303030303029153,23.623
29.411764705883286,23.657
0,23.69
0,23.723
0,23.757
0,23.791
0,23.824
0,23.857
0,23.89
0,23.923
0,23.957
0,23.99
29.411764705880213,24.024
0,24.057
29.411764705880213,24.091
62.49999999999994,24.123
58.82352941176657,24.157
29.411764705883286,24.191
30.303030303029153,24.224
30.303030303029153,24.257
0,24.291
30.303030303029153,24.324
30.30303030303242,24.357
0,24.391
0,24.424
29.411764705883286,24.458
0,24.492
0,24.524
29.411764705883286,24.558
0,24.591
0,24.624
29.411764705880213,24.658
0,24.692
0,24.724
0,24.758
0,24.791
29.411764705883286,24.825
0,24.858
0,24.892
0,24.925
30.30303030303242,24.958
0,24.992
30.30303030303242,25.025
0,25.058
29.411764705883286,25.092
60.60606060605831,25.125
60.60606060605831,25.158
60.60606060606484,25.191
88.23529411764065,25.225
60.60606060606484,25.258
58.823529411760425,25.292
60.60606060606484,25.325
30.303030303029153,25.358
58.82352941176657,25.392
30.303030303029153,25.425
0,25.459
30.303030303029153,25.492
30.30303030303242,25.525
0,25.558
29.411764705883286,25.592
0,25.625
0,25.66
0,25.692
0,25.725
0,25.758
0,25.792
0,25.825
0,25.859
0,25.892
0,25.925
0,25.959
0,25.992
0,26.025
0,26.059
0,26.093
0,26.126
0,26.16
0,26.193
90.90909090909724,26.226
90.90909090908747,26.259
58.82352941176657,26.293
60.60606060605831,26.326
60.60606060605831,26.359
58.82352941176657,26.393
29.411764705883286,26.427
60.60606060605831,26.46
30.30303030303242,26.493
0,26.527
31.24999999999997,26.559
0,26.593
29.411764705883286,26.627
30.303030303029153,26.66
0,26.693
0,26.727
29.411764705883286,26.761
0,26.794
0,26.827
29.411764705883286,26.861
0,26.893
0,26.927
0,26.96
0,26.994
0,27.027
0,27.06
30.303030303029153,27.093
0,27.127
0,27.16
30.303030303029153,27.193
0,27.227
29.411764705883286,27.261
31.24999999999997,27.293
29.411764705880213,27.327
0,27.361
30.30303030303242,27.394
0,27.427
29.411764705883286,27.461
30.303030303029153,27.494
0,27.527
29.411764705883286,27.561
30.303030303029153,27.594
30.30303030303242,27.627
58.823529411760425,27.661
30.30303030303242,27.694
60.60606060605831,27.727
88.23529411764986,27.761
90.90909090908747,27.794
88.23529411764986,27.828
121.21212121211661,27.861
90.90909090909724,27.894
151.51515151514576,27.927
88.23529411764986,27.961
30.303030303029153,27.994
58.82352941176657,28.028
0,28.061
30.303030303029153,28.094
0,28.128
30.303030303029153,28.161
0,28.445
0,28.478
0,28.512
0,28.545
0,28.579
0,28.612
0,28.645
-30.303030303029153,28.678
0,28.712
0,28.746
0,28.779
0,28.812
0,28.845
0,28.879
0,28.912
0,28.945
0,28.978
0,29.012
0,29.079
0,29.112
0,29.162
0,29.196
0,29.229
0,29.263
0,29.296
0,29.329
0,29.363
90.90909090908747,29.396
58.82352941176657,29.43
90.90909090908747,29.463
29.411764705883286,29.497
62.49999999999994,29.529
29.411764705883286,29.563
29.411764705880213,29.597
60.60606060606484,29.63
30.303030303029153,29.663
30.303030303029153,29.696
30.30303030303242,29.729
30.303030303029153,29.762
0,29.797
30.30303030303242,29.83
0,29.863
29.411764705883286,29.897
0,29.93
0,29.963
0,29.997
31.24999999999997,30.029
0,30.063
0,30.097
30.30303030303242,30.13
0,30.163
0,30.197
0,30.23
29.411764705883286,30.264
30.303030303029153,30.297
0,30.33
30.303030303029153,30.363
29.411764705883286,30.397
30.303030303029153,30.43
0,30.464
30.303030303029153,30.497
0,30.53
29.411764705883286,30.564
0,30.597
30.30303030303242,30.63
19.999999999999716,30.68
19.999999999999716,30.73
58.82352941176657,30.764
121.21212121211661,30.797
88.23529411764986,30.831
90.90909090908747,30.864
30.30303030303242,30.897
29.411764705880213,30.931
29.411764705883286,30.965
31.24999999999997,30.997
29.411764705883286,31.031
30.303030303029153,31.064
30.303030303029153,31.097
29.411764705883286,31.131
12.048192771084569,31.214
-12.048192771084052,31.297
-3.984063745019957,31.548
-5.4644808743168385,31.731
-6.024096385542284,31.897
0,41.858
0,41.891
0,41.942
0,41.975
0,42.008
0,42.058
0,42.092
0,42.125
0,42.175
0,42.225
0,42.259
0,42.292
0,42.325
0,42.359
90.90909090908747,42.392
121.21212121214272,42.425
176.47058823526285,42.459
90.90909090910704,42.492
58.82352941175428,42.526
60.60606060607136,42.559
30.303030303029153,42.592
30.303030303029153,42.625
0,42.659
29.411764705883286,42.693
0,42.725
0,42.759
0,42.793
0,42.826
0,42.859
0,42.893
0,42.926
0,42.959
0,42.992
29.41176470587714,43.026
60.60606060607136,43.059
58.82352941175428,43.093
121.21212121214272,43.126
90.90909090908747,43.159
88.23529411764986,43.193
60.60606060605831,43.226
88.23529411764986,43.26
60.60606060605831,43.293
58.82352941176657,43.327
62.49999999999301,43.359
29.411764705883286,43.393
29.411764705883286,43.427
30.303030303029153,43.46
58.82352941176657,43.494
60.60606060605831,43.527
60.60606060605831,43.56
30.303030303029153,43.593
29.411764705883286,43.627
30.30303030303568,43.66
30.303030303029153,43.693
29.411764705883286,43.727
30.303030303029153,43.76
30.303030303029153,43.793
29.411764705883286,43.827
58.82352941176657,43.861
62.49999999999301,43.893
88.23529411764986,43.927
90.90909090908747,43.96
121.21212121211661,43.993
147.05882352941643,44.027
121.21212121211661,44.06
117.64705882353314,44.094
90.90909090908747,44.127
60.60606060607136,44.16
88.23529411763143,44.194
151.5151515151784,44.227
0,44.261
0,44.327
0,44.361
0,44.394
0,44.427
0,44.46
0,44.494
0,44.528
0,44.561
0,44.594
235.2941176470663,44.628
242.42424242423323,44.661
121.21212121211661,44.694
88.23529411764986,44.728
30.303030303029153,44.761
29.411764705883286,44.795
30.303030303029153,44.828
14.92537313432832,44.895
0,44.945
20.000000000001137,44.995
15.151515151514577,45.061
30.303030303029153,45.094
29.411764705883286,45.128
60.60606060605831,45.161
29.411764705883286,45.195
30.303030303029153,45.228
29.411764705883286,45.262
0,45.311
29.411764705883286,45.345
0,45.378
14.92537313432832,45.445
0,45.529
20.000000000001137,45.579
0,45.612
0,45.679
30.303030303029153,45.712
0,45.745
0,45.779
30.30303030303568,45.812
19.999999999998295,45.862
0,45.895
29.411764705883286,45.929
29.411764705883286,45.963
0,45.996
60.60606060605831,46.029
30.30303030303568,46.062
28.571428571425557,46.097
62.500000000006885,46.129
29.411764705883286,46.163
60.60606060605831,46.196
58.82352941176657,46.23
30.303030303029153,46.263
29.411764705883286,46.297
31.249999999996504,46.329
29.411764705883286,46.363
29.411764705883286,46.397
31.249999999996504,46.429
29.411764705883286,46.463
30.303030303029153,46.496
58.82352941176657,46.53
30.303030303029153,46.563
60.60606060607136,46.596
29.41176470587714,46.63
30.30303030303568,46.663
29.41176470587714,46.697
0,46.73
30.303030303029153,46.763
0,46.797
0,46.83
0,46.863
0,46.897
0,46.93
0,46.963
0,46.997
0,47.03
0,47.063
0,47.097
0,47.13
0,47.163
0,47.197
0,47.23
0,47.264
0,47.297
0,47.33
147.05882352941643,47.364
90.90909090908747,47.397
88.23529411764986,47.431
31.249999999996504,47.463
58.82352941176657,47.497
30.303030303029153,47.53
28.571428571431355,47.565
31.249999999996504,47.597
30.303030303029153,47.63
19.60784313725689,47.681
30.303030303029153,47.714
29.411764705883286,47.748
20.408163265306335,47.797
29.41176470587714,47.831
30.30303030303568,47.864
58.82352941175428,47.898
60.60606060607136,47.931
90.90909090908747,47.964
117.64705882353314,47.998
90.90909090908747,48.031
90.90909090908747,48.064
60.60606060605831,48.097
29.411764705883286,48.131
30.303030303029153,48.164
29.411764705883286,48.198
30.303030303029153,48.231
29.411764705883286,48.265
20.000000000001137,48.315
30.303030303029153,48.348
90.90909090908747,48.381
147.05882352941643,48.415
88.23529411764986,48.449
90.90909090908747,48.482
30.303030303029153,48.515
0,48.548
29.411764705883286,48.582
0,48.615
0,48.648
29.411764705883286,48.682
0,48.715
0,48.749
30.30303030303568,48.782
0,48.815
0,48.849
60.60606060605831,48.882
30.303030303029153,48.915
88.23529411764986,48.949
60.60606060605831,48.982
30.303030303029153,49.015
29.411764705883286,49.049
30.303030303029153,49.082
0,49.115
30.303030303029153,49.148
0,49.182
29.411764705883286,49.216
29.411764705883286,49.25
93.75000000001033,49.282
235.29411764701712,49.316
181.81818181821407,49.349
121.21212121211661,49.382
90.90909090908747,49.415
117.64705882353314,49.449
90.90909090908747,49.482
121.21212121211661,49.515
88.23529411764986,49.549
117.64705882353314,49.583
121.21212121211661,49.616
90.90909090908747,49.649
88.23529411764986,49.683
121.21212121211661,49.716
60.60606060605831,49.749
88.23529411764986,49.783
88.23529411764986,49.817
93.75000000001033,49.849
58.82352941175428,49.883
60.60606060607136,49.916
29.41176470587714,49.95
29.411764705883286,49.984
62.500000000006885,50.016
0,50.066
0,50.133
0,50.25
9.009009009009052,50.583
205.882352941183,50.617
181.81818181817493,50.65
90.90909090908747,50.683
29.411764705883286,50.717
58.82352941176657,50.751
60.60606060605831,50.784
30.303030303029153,50.817
29.411764705883286,50.851
60.60606060605831,50.884
30.303030303029153,50.917
30.303030303029153,50.95
58.82352941176657,50.984
60.60606060605831,51.017
29.411764705883286,51.051
30.303030303029153,51.084
29.411764705883286,51.118
121.21212121211661,51.151
212.12121212124976,51.184
303.0303030302915,51.217
294.11764705883286,51.251
212.12121212120408,51.284
151.51515151514576,51.317
205.882352941183,51.351
242.42424242423323,51.384
242.42424242423323,51.417
147.05882352941643,51.451
181.81818181817493,51.484
205.882352941183,51.518
151.51515151514576,51.551
151.51515151514576,51.584
147.05882352941643,51.618
147.05882352941643,51.652
90.90909090908747,51.685
151.51515151514576,51.718
151.5151515151784,51.751
176.47058823529972,51.785
90.90909090908747,51.818
147.05882352941643,51.852
121.21212121211661,51.885
121.21212121211661,51.918
117.64705882353314,51.952
121.21212121211661,51.985
60.60606060605831,52.018
29.411764705883286,52.052
20.000000000001137,52.102
0,52.135
0,52.185
0,52.218
0,52.252
0,52.319
0,52.352
0,52.385
0,52.435
0,52.485
0,52.535
0,52.602
0,52.669
0,52.719
0,52.769
0,52.802
0,52.836
0,52.869
0,52.902
0,52.936
0,52.969
0,53.003
0,53.052
85.71428571427667,53.087
93.75000000001033,53.119
88.23529411764986,53.153
121.21212121211661,53.186
117.64705882353314,53.22
90.90909090908747,53.253
58.82352941176657,53.287
60.60606060605831,53.32
60.60606060605831,53.353
58.82352941176657,53.387
31.250000000003443,53.419
88.23529411763143,53.453
58.82352941176657,53.487
62.500000000006885,53.519
88.23529411764986,53.553
90.90909090908747,53.586
58.82352941176657,53.62
121.21212121211661,53.653
88.23529411764986,53.687
117.64705882353314,53.721
62.49999999999301,53.753
117.64705882353314,53.787
90.90909090908747,53.82
90.90909090908747,53.853
58.82352941176657,53.887
90.90909090908747,53.92
58.82352941176657,53.954
60.60606060605831,53.987
90.90909090908747,54.02
58.82352941176657,54.054
58.82352941176657,54.088
62.500000000006885,54.12
30.303030303029153,54.153
28.571428571425557,54.188
30.30303030303568,54.221
30.303030303029153,54.254
6.666666666666572,54.554
205.882352941183,54.588
303.0303030302915,54.621
333.3333333333207,54.654
235.2941176470663,54.688
212.12121212124976,54.721
272.7272727272624,54.754
242.42424242423323,54.787
114.28571428570223,54.822
125.00000000001377,54.854
88.23529411764986,54.888
60.60606060605831,54.921
88.23529411764986,54.955
90.90909090908747,54.988
121.21212121211661,55.021
90.90909090908747,55.054
176.47058823529972,55.088
205.882352941183,55.122
242.42424242423323,55.155
121.21212121211661,55.188
181.81818181821407,55.221
176.47058823526285,55.255
0,55.289
0,55.321
0,55.355
0,55.488
13.245033112582487,55.639
121.21212121214272,55.672
90.90909090908747,55.705
117.64705882353314,55.739
151.51515151514576,55.772
303.0303030302915,55.805
235.2941176470663,55.839
333.3333333333207,55.872
242.42424242423323,55.905
382.3529411764827,55.939
272.7272727272624,55.972
235.2941176470663,56.006
212.12121212120408,56.039
242.42424242423323,56.072
151.5151515151784,56.105
147.0588235293857,56.139
121.21212121214272,56.172
117.64705882350856,56.206
30.30303030303568,56.239
60.60606060605831,56.272
14.92537313432832,56.339
0,57.157
0,57.19
0,57.223
0,57.256
0,57.29
0,57.324
0,58.191
0,58.225
0,58.258
0,58.292
0,58.325
0,58.358
0,58.391
0,58.441
0,58.658
0,58.708
0,58.742
0,58.775
60.60606060605831,58.808
147.05882352941643,58.842
181.81818181817493,58.875
88.23529411764986,58.909
90.90909090908747,58.942
30.303030303029153,58.975
60.60606060605831,59.008
58.82352941176657,59.042
29.411764705883286,59.076
30.303030303029153,59.109
30.303030303029153,59.142
0,59.176
29.411764705883286,59.21
0,59.243
30.303030303029153,59.276
30.30303030303568,59.309
58.82352941175428,59.343
30.30303030303568,59.376
30.303030303029153,59.409
30.303030303029153,59.442
29.411764705883286,59.476
0,59.509
58.82352941176657,59.543
0,59.576
29.411764705883286,59.61
30.303030303029153,59.643
0,59.676
0,59.709
0,59.742
0,59.776
0,59.809
0,59.842
0,59.876
0,59.909
0,59.943
0,59.976
17.094017094016447,60.093
88.23529411764986,60.127
93.75000000001033,60.159
58.82352941176657,60.193
60.60606060605831,60.226
