vy,Time
1.5236160487557135,0.0
1.5236160487557135,1.969
57.142857142857274,2.004
60.60606060606076,2.037
62.49999999999994,2.069
58.82352941176427,2.103
30.30303030303038,2.136
58.82352941176504,2.17
90.90909090909113,2.203
30.30303030302997,2.236
29.41176470588252,2.27
30.30303030303038,2.303
60.60606060606076,2.336
29.411764705882135,2.37
30.30303030303038,2.403
30.30303030303038,2.436
11.904761904761894,2.52
-8.474576271186448,2.638
-20.40816326530615,2.687
-60.60606060605994,2.72
-60.60606060606076,2.753
-58.82352941176504,2.787
-29.411764705882135,2.821
-31.24999999999997,2.853
-28.571428571428818,2.888
-31.24999999999997,2.92
0,2.954
0,2.988
-31.24999999999997,3.02
0,3.054
0,3.088
-31.24999999999997,3.12
-29.41176470588252,3.154
0,3.188
-30.30303030303038,3.221
0,3.253
0,3.288
-30.30303030302997,3.321
0,3.355
31.24999999999997,3.387
0,3.42
0,3.454
0,3.487
0,3.521
0,3.555
0,3.587
0,3.621
0,3.654
0,3.687
5.698005698005691,4.038
205.88235294117763,4.072
151.51515151514985,4.105
90.90909090909236,4.138
90.90909090908991,4.171
117.64705882353007,4.205
90.90909090908991,4.238
60.60606060606157,4.271
88.23529411764756,4.305
60.60606060605994,4.338
88.23529411764756,4.372
90.90909090908991,4.405
60.60606060606157,4.438
60.60606060605994,4.471
0,4.505
30.30303030302997,4.538
30.303030303030784,4.571
0,4.605
0,4.639
0,4.672
0,4.705
0,4.738
0,4.772
0,4.805
0,4.838
0,4.872
0,4.905
0,4.939
0,4.972
0,5.006
0,5.039
0,5.072
0,5.106
0,5.139
0,5.172
0,5.205
117.64705882353007,5.239
121.21212121211988,5.272
58.82352941176504,5.306
60.60606060605994,5.339
60.60606060606157,5.372
88.23529411764756,5.406
93.74999999999991,5.438
88.23529411764525,5.472
88.23529411764756,5.506
58.82352941176504,5.54
31.24999999999997,5.572
58.82352941176504,5.606
0,5.64
30.30303030302997,5.673
0,5.707
0,5.74
30.303030303030784,5.773
0,5.806
0,5.84
0,5.873
0,5.906
0,5.94
0,5.973
0,6.006
0,6.04
0,6.073
0,6.106
0,6.14
0,6.174
0,6.207
0,6.24
147.0588235294126,6.274
181.81818181817982,6.307
151.51515151515392,6.34
117.64705882353007,6.374
30.30303030302997,6.407
30.30303030302997,6.44
30.303030303030784,6.473
29.41176470588252,6.507
30.30303030302997,6.54
30.30303030302997,6.573
19.607843137255184,6.624
15.151515151514985,6.69
29.41176470588252,6.724
30.303030303030784,6.757
30.30303030302997,6.79
58.82352941176504,6.824
29.41176470588252,6.858
31.24999999999997,6.89
28.571428571428456,6.925
0,6.957
29.41176470588252,6.991
0,7.024
90.90909090908991,7.057
0,7.091
0,7.124
0,7.157
0,7.191
0,7.224
0,7.258
0,7.308
0,7.342
90.90909090908991,7.375
121.21212121211988,7.408
121.21212121212314,7.441
88.23529411764756,7.475
90.90909090908991,7.508
60.60606060605994,7.541
29.41176470588252,7.575
30.303030303030784,7.608
0,7.641
28.571428571428456,7.676
0,7.708
29.41176470588252,7.742
0,7.775
30.303030303030784,7.808
0,7.842
0,7.875
0,7.908
-29.41176470588252,7.942
0,7.976
0,8.009
0,8.043
0,8.075
0,8.108
29.411764705883286,8.142
0,8.175
29.411764705883286,8.209
60.60606060605831,8.242
30.303030303030784,8.275
147.05882352941643,8.309
0,8.342
0,8.392
0,8.442
0,8.475
0,8.526
0,8.609
3.738317757009345,9.144
181.8181818181847,9.177
181.81818181817493,9.21
121.21212121212314,9.243
117.64705882353314,9.277
181.81818181817493,9.31
181.8181818181847,9.343
88.23529411764525,9.377
60.60606060606157,9.41
30.303030303030784,9.443
29.41176470588175,9.477
30.303030303030784,9.51
60.60606060606157,9.543
29.41176470588175,9.577
60.60606060606157,9.61
88.23529411764525,9.644
58.8235294117635,9.678
60.60606060606157,9.711
30.303030303030784,9.744
29.41176470588175,9.778
60.60606060606157,9.811
60.60606060606157,9.844
60.60606060605831,9.877
60.60606060606157,9.91
57.14285714285691,9.945
31.24999999999997,9.977
29.411764705883286,10.011
0,10.045
31.24999999999997,10.077
0,10.111
0,10.194
0,10.245
30.303030303029153,10.278
0,10.311
0,10.345
62.49999999999994,10.377
29.411764705883286,10.411
0,10.444
60.60606060606157,10.477
57.14285714285691,10.512
90.90909090909236,10.545
60.60606060606157,10.578
90.90909090908747,10.611
58.82352941176657,10.645
60.60606060605831,10.678
60.60606060606157,10.711
29.411764705883286,10.745
58.8235294117635,10.779
31.24999999999997,10.811
29.41176470588175,10.845
58.82352941176657,10.879
31.24999999999997,10.911
29.41176470588175,10.945
58.82352941176657,10.979
60.60606060605831,11.012
60.60606060606157,11.045
29.41176470588175,11.079
30.303030303030784,11.112
30.303030303030784,11.145
30.303030303029153,11.178
29.411764705883286,11.212
30.303030303030784,11.245
29.41176470588175,11.279
29.41176470588175,11.313
30.303030303030784,11.346
60.60606060606157,11.379
29.41176470588175,11.413
31.24999999999997,11.445
60.60606060606157,11.478
58.8235294117635,11.512
58.82352941176657,11.546
31.24999999999997,11.578
29.41176470588175,11.612
29.41176470588175,11.646
19.607843137255525,11.697
32.25806451612843,11.728
