y,Time
0,0.0
3,1.969
5,2.004
7,2.037
9,2.069
11,2.103
12,2.136
14,2.17
17,2.203
18,2.236
19,2.27
20,2.303
22,2.336
23,2.37
24,2.403
25,2.436
26,2.52
25,2.638
24,2.687
22,2.72
20,2.753
18,2.787
17,2.821
16,2.853
15,2.888
14,2.92
14,2.954
14,2.988
13,3.02
13,3.054
13,3.088
12,3.12
11,3.154
11,3.188
10,3.221
10,3.253
10,3.288
9,3.321
9,3.355
10,3.387
10,3.42
10,3.454
10,3.487
10,3.521
10,3.555
10,3.587
10,3.621
10,3.654
10,3.687
12,4.038
19,4.072
24,4.105
27,4.138
30,4.171
34,4.205
37,4.238
39,4.271
42,4.305
44,4.338
47,4.372
50,4.405
52,4.438
54,4.471
54,4.505
55,4.538
56,4.571
56,4.605
56,4.639
56,4.672
56,4.705
56,4.738
56,4.772
56,4.805
56,4.838
56,4.872
56,4.905
56,4.939
56,4.972
56,5.006
56,5.039
56,5.072
56,5.106
56,5.139
56,5.172
56,5.205
60,5.239
64,5.272
66,5.306
68,5.339
70,5.372
73,5.406
76,5.438
79,5.472
82,5.506
84,5.54
85,5.572
87,5.606
87,5.64
88,5.673
88,5.707
88,5.74
89,5.773
89,5.806
89,5.84
89,5.873
89,5.906
89,5.94
89,5.973
89,6.006
89,6.04
89,6.073
89,6.106
89,6.14
89,6.174
89,6.207
89,6.24
94,6.274
100,6.307
105,6.34
109,6.374
110,6.407
111,6.44
112,6.473
113,6.507
114,6.54
115,6.573
116,6.624
117,6.69
118,6.724
119,6.757
120,6.79
122,6.824
123,6.858
124,6.89
125,6.925
125,6.957
126,6.991
126,7.024
129,7.057
129,7.091
129,7.124
129,7.157
129,7.191
129,7.224
129,7.258
129,7.308
129,7.342
132,7.375
136,7.408
140,7.441
143,7.475
146,7.508
148,7.541
149,7.575
150,7.608
150,7.641
151,7.676
151,7.708
152,7.742
152,7.775
153,7.808
153,7.842
153,7.875
153,7.908
152,7.942
152,7.976
152,8.009
152,8.043
152,8.075
152,8.108
153,8.142
153,8.175
154,8.209
156,8.242
157,8.275
162,8.309
162,8.342
162,8.392
162,8.442
162,8.475
162,8.526
162,8.609
164,9.144
170,9.177
176,9.21
180,9.243
184,9.277
190,9.31
196,9.343
199,9.377
201,9.41
202,9.443
203,9.477
204,9.51
206,9.543
207,9.577
209,9.61
212,9.644
214,9.678
216,9.711
217,9.744
218,9.778
220,9.811
222,9.844
224,9.877
226,9.91
228,9.945
229,9.977
230,10.011
230,10.045
231,10.077
231,10.111
231,10.194
231,10.245
232,10.278
232,10.311
232,10.345
234,10.377
235,10.411
235,10.444
237,10.477
239,10.512
242,10.545
244,10.578
247,10.611
249,10.645
251,10.678
253,10.711
254,10.745
256,10.779
257,10.811
258,10.845
260,10.879
261,10.911
262,10.945
264,10.979
266,11.012
268,11.045
269,11.079
270,11.112
271,11.145
272,11.178
273,11.212
274,11.245
275,11.279
276,11.313
277,11.346
279,11.379
280,11.413
281,11.445
283,11.478
285,11.512
287,11.546
288,11.578
289,11.612
290,11.646
291,11.697
292,11.728
293,11.762
293,11.795
294,11.83
295,11.863
296,11.896
298,11.93
299,11.963
301,11.997
302,12.03
304,12.062
306,12.096
308,12.13
310,12.163
312,12.197
316,12.23
319,12.263
322,12.296
324,12.33
325,12.363
326,12.396
326,12.43
327,12.463
328,12.496
329,12.53
330,12.563
331,12.596
332,12.63
333,12.663
334,12.698
335,12.73
336,12.763
337,12.796
338,12.83
339,12.863
340,12.897
341,12.93
342,12.964
342,12.998
343,13.03
343,13.064
344,13.097
344,13.131
344,13.164
345,13.197
347,13.231
350,13.264
354,13.297
358,13.332
360,13.364
363,13.397
366,13.43
367,13.465
369,13.497
371,13.531
372,13.564
373,13.597
374,13.648
375,13.681
378,13.715
381,13.747
385,13.781
388,13.815
391,13.847
393,13.881
396,13.915
398,13.948
401,13.981
404,14.015
407,14.048
410,14.081
414,14.115
418,14.148
422,14.182
423,14.215
424,14.249
425,14.282
426,14.332
426,14.365
427,14.399
428,14.432
429,14.465
430,14.532
431,14.582
432,14.615
433,14.649
435,14.682
436,14.715
437,14.748
438,14.782
439,14.815
440,14.898
438,14.948
440,15.316
443,15.348
447,15.383
450,15.416
452,15.45
454,15.482
455,15.516
456,15.55
457,15.582
458,15.616
459,15.649
460,15.683
461,15.716
462,15.783
462,15.85
462,15.883
462,15.916
463,15.95
463,15.983
464,16.033
465,16.067
466,16.1
467,16.133
468,16.167
468,16.2
469,16.234
470,16.266
471,16.3
473,16.333
474,16.384
475,16.433
476,16.501
476,16.533
476,16.567
477,16.6
477,16.634
477,16.667
478,16.7
478,16.734
476,16.767
476,16.8
476,16.834
476,16.884
476,18.319
476,18.352
476,18.386
476,18.419
476,18.453
476,18.485
476,18.519
476,18.553
476,18.653
476,18.703
476,18.736
476,18.77
476,18.803
476,18.836
476,18.87
476,18.903
476,18.936
476,18.97
476,19.003
476,19.036
476,19.07
476,19.103
476,19.136
476,19.204
476,19.27
476,19.354
476,19.42
476,19.453
476,19.487
476,19.52
476,19.554
476,19.587
476,19.62
