vy,Time
1.7905102954341987,0.0
1.7905102954341987,1.117
30.30303030303038,1.15
12.048192771084311,1.233
9.900990099009903,1.334
14.92537313432837,1.401
10.000000000000014,1.501
19.999999999999982,1.551
19.999999999999982,1.601
30.30303030303038,1.634
29.411764705882327,1.668
60.606060606060346,1.701
58.82352941176465,1.735
30.30303030303038,1.768
58.82352941176465,1.802
30.30303030303038,1.835
30.303030303030173,1.868
30.30303030303038,1.901
58.82352941176465,1.935
30.30303030303038,1.968
20.00000000000007,2.018
19.999999999999893,2.068
30.30303030303038,2.101
20.00000000000007,2.151
29.411764705882135,2.185
29.41176470588252,2.219
31.24999999999997,2.251
29.411764705882135,2.285
12.048192771084375,2.368
-7.462686567164185,2.502
-30.30303030302997,2.535
-30.30303030303038,2.568
-29.41176470588252,2.602
-30.30303030303038,2.635
-30.30303030302997,2.668
-29.41176470588252,2.702
-30.30303030303038,2.735
-58.82352941176427,2.769
-30.30303030303038,2.802
-30.30303030303038,2.835
-60.60606060606076,2.868
-29.411764705882135,2.902
-60.60606060606076,2.935
-29.41176470588252,2.969
-30.30303030303038,3.002
-29.411764705882135,3.036
-20.40816326530615,3.085
-29.411764705882135,3.119
-30.30303030303038,3.152
-30.30303030303038,3.185
-19.607843137254843,3.236
-30.30303030303038,3.269
-29.41176470588252,3.303
-30.30303030303038,3.336
-30.30303030302997,3.369
-20.00000000000007,3.419
-20.00000000000007,3.469
-19.801980198019805,3.57
2.7247956403269757,3.937
15.151515151515087,4.003
2.14132762312634,4.47
0.6968641114982576,5.905
5.988023952095815,6.072
0,6.155
29.41176470588252,6.189
0,6.222
0,6.256
0,6.289
0,6.339
0,6.389
0,6.423
0,6.456
0,6.489
0,6.522
0,6.556
0,6.59
0,6.624
-31.24999999999997,6.656
0,6.707
0,6.756
0,6.79
0,6.823
0,6.856
0,6.89
0,6.923
0,6.957
0,6.99
0,7.023
0,7.056
0,7.09
0,7.123
0,7.156
0,7.19
30.303030303030784,7.223
11.90476190476183,7.307
0,7.34
29.41176470588252,7.374
30.30303030302997,7.407
30.30303030302997,7.44
58.82352941176504,7.474
30.303030303030784,7.507
58.8235294117635,7.541
30.303030303030784,7.574
30.30303030302997,7.607
29.41176470588252,7.641
30.30303030302997,7.674
0,7.707
29.41176470588252,7.741
30.30303030302997,7.774
0,7.807
30.303030303030784,7.84
30.30303030302997,7.873
0,7.908
30.303030303030784,7.941
29.41176470588252,7.975
19.999999999999716,8.025
20.000000000000426,8.075
30.303030303029153,8.108
60.60606060606157,8.141
58.8235294117635,8.175
58.82352941176657,8.209
62.49999999999994,8.241
29.41176470588175,8.275
58.82352941176657,8.309
31.24999999999997,8.341
58.8235294117635,8.375
29.41176470588175,8.409
30.303030303030784,8.442
30.303030303030784,8.475
30.303030303030784,8.508
58.8235294117635,8.542
20.408163265306335,8.591
11.904761904761706,8.675
14.92537313432832,8.742
20.000000000000426,8.792
12.048192771084311,8.875
6.6225165562914,9.026
15.151515151514985,9.092
30.303030303030784,9.125
0,9.16
31.24999999999997,9.192
29.41176470588175,9.226
29.411764705883286,9.26
60.60606060606157,9.293
62.49999999999994,9.325
60.60606060605831,9.358
58.82352941176657,9.392
88.23529411764525,9.426
60.60606060606157,9.459
90.90909090908747,9.492
58.82352941176657,9.526
60.60606060606157,9.559
60.60606060605831,9.592
88.23529411764986,9.626
60.60606060605831,9.659
60.60606060606157,9.692
90.90909090909236,9.725
58.8235294117635,9.759
29.411764705883286,9.793
60.60606060605831,9.826
30.303030303030784,9.859
0,9.893
31.24999999999997,9.925
29.411764705883286,9.959
29.41176470588175,9.993
30.303030303030784,10.026
29.41176470588175,10.06
0,10.143
-10.10101010101008,10.242
0,11.995
0.06558237145855195,27.243
29.411764705880213,27.277
90.90909090909724,27.31
90.90909090908747,27.343
88.23529411764986,27.377
60.60606060605831,27.41
58.82352941176657,27.444
60.60606060605831,27.477
60.60606060605831,27.51
20.000000000001137,27.56
30.303030303029153,27.593
30.303030303029153,27.626
29.411764705883286,27.66
58.82352941176657,27.694
