vx,Time
1.0976948408342482,0.0
1.0976948408342482,4.555
323.52941176469926,4.589
333.33333333333866,4.622
323.52941176470773,4.656
333.3333333333297,4.689
181.81818181817982,4.722
147.0588235294126,4.756
176.4705882352951,4.79
60.60606060605994,4.823
60.60606060606157,4.856
30.30303030302997,4.889
11.904761904761957,4.973
-6.666666666666651,5.123
-8.547008547008547,5.24
0,5.289
0,5.323
0,5.356
0,5.39
0,5.423
0,5.456
0,5.49
30.303030303030784,5.523
0,5.556
0,5.59
0,5.623
29.41176470588252,5.657
0,5.689
0,5.723
0,5.757
0,5.79
0,5.823
0,5.857
0,5.891
0,5.924
0,5.957
30.30303030302997,5.99
29.41176470588252,6.024
29.41176470588252,6.058
60.60606060605994,6.091
30.303030303030784,6.124
30.30303030302997,6.157
19.607843137254843,6.208
30.303030303030784,6.241
62.49999999999994,6.273
88.23529411764525,6.307
88.23529411764756,6.341
90.90909090909236,6.374
60.60606060605994,6.407
58.82352941176504,6.441
90.90909090908991,6.474
60.60606060606157,6.507
60.60606060605994,6.54
29.41176470588252,6.574
60.60606060605994,6.607
29.41176470588252,6.641
0,6.674
29.41176470588252,6.708
0,6.741
0,6.774
0,6.808
0,6.841
0,6.874
0,6.908
0,6.941
0,6.974
0,7.007
0,7.041
0,7.141
0,7.209
0,7.242
0,7.275
0,7.309
0,7.341
0,7.375
0,7.408
0,7.441
0,7.475
0,7.509
0,7.542
0,7.575
0,7.609
0,7.642
0,7.842
0,10.244
0.8944543828264756,11.362
7.518796992481253,11.495
4.987531172069806,11.896
90.90909090909236,11.929
147.05882352941643,11.963
90.90909090908747,11.996
88.23529411764986,12.03
60.60606060605831,12.063
60.60606060606157,12.096
88.23529411764525,12.13
93.74999999999991,12.162
85.71428571428972,12.197
62.49999999999994,12.229
57.14285714285691,12.264
19.999999999999716,12.314
12.195121951219402,12.396
11.904761904761957,12.48
58.82352941176657,12.514
151.51515151514576,12.547
151.51515151515392,12.58
88.23529411764525,12.614
117.64705882353314,12.648
93.74999999999991,12.68
30.303030303030784,12.713
57.14285714285691,12.748
31.24999999999997,12.78
58.8235294117635,12.814
117.647058823527,12.848
121.21212121212314,12.881
62.49999999999994,12.913
29.411764705883286,12.947
19.999999999999716,12.997
29.41176470588175,13.031
30.303030303030784,13.064
19.999999999999716,13.114
60.60606060606157,13.147
0,13.414
0,14.031
0,14.232
0,14.783
0,14.815
0,14.849
0,14.882
0,14.949
0,15.066
0,15.116
0,15.149
0,15.182
0,15.216
0,15.249
0,15.282
0,15.382
0,15.483
0,15.516
0,16.15
0,16.183
0,16.217
0,16.317
21.85792349726778,16.5
121.21212121211661,16.533
176.47058823529972,16.567
181.81818181817493,16.6
147.05882352941643,16.634
88.23529411764986,16.668
90.90909090908747,16.701
90.90909090908747,16.734
60.60606060606484,16.767
88.23529411764986,16.801
60.60606060605831,16.834
121.21212121211661,16.867
147.05882352941643,16.901
117.64705882353314,16.935
90.90909090908747,16.968
60.60606060605831,17.001
30.30303030303242,17.034
14.92537313432832,17.101
19.999999999999716,17.151
11.904761904761957,17.235
0,17.269
0,17.302
0,17.336
0,17.369
0,17.401
0,17.435
0,17.469
0,17.501
0,17.536
0,17.569
0,17.619
0,17.669
0,17.719
0,17.752
0,17.801
0,17.852
0,17.901
0,17.952
0,18.019
4.49775112443777,18.686
90.90909090908747,18.719
85.71428571428537,18.754
62.49999999999994,18.786
60.60606060606484,18.819
58.823529411760425,18.853
58.82352941176657,18.887
90.90909090908747,18.92
30.30303030303242,18.953
60.60606060605831,18.986
29.411764705883286,19.02
58.82352941176657,19.054
62.49999999999994,19.086
58.823529411760425,19.12
90.90909090909724,19.153
30.303030303029153,19.186
57.14285714285691,19.221
60.60606060605831,19.254
0,19.286
29.411764705883286,19.32
0,19.353
0,19.386
0,19.453
-19.607843137254157,19.504
0,19.587
4.273504273504273,20.055
93.74999999999991,20.087
29.411764705883286,20.121
30.303030303029153,20.154
30.303030303029153,20.187
29.411764705883286,20.221
30.303030303029153,20.254
30.30303030303242,20.287
29.411764705880213,20.321
30.30303030303242,20.354
29.411764705880213,20.388
30.30303030303242,20.421
30.303030303029153,20.454
-11.764705882352823,20.539
-40.000000000002274,20.589
-31.24999999999997,20.621
-30.303030303029153,20.654
-28.571428571428456,20.689
-9.999999999999858,20.789
4.392386530014642,21.472
20.000000000001137,21.522
14.92537313432832,21.589
5.952380952380853,21.757
10.10101010101008,21.856
14.925373134329112,21.923
12.048192771084052,22.006
12.048192771084569,22.089
19.999999999999716,22.139
19.607843137254157,22.19
30.30303030303242,22.223
10.10101010101008,22.322
14.92537313432832,22.389
29.411764705883286,22.423
19.999999999999716,22.473
19.999999999999716,22.523
14.92537313432832,22.59
15.151515151515392,22.656
19.999999999999716,22.706
19.607843137254157,22.757
12.048192771084569,22.84
0,23.174
0,23.24
0,23.273
0,23.307
0,23.357
0,23.474
6.482982171799018,24.091
88.23529411764986,24.125
58.82352941176657,24.159
60.60606060605831,24.192
60.60606060605831,24.225
58.82352941176657,24.259
31.24999999999997,24.291
58.82352941176657,24.325
29.411764705880213,24.359
60.60606060606484,24.392
29.411764705883286,24.426
30.303030303029153,24.459
31.24999999999997,24.491
29.411764705883286,24.525
29.411764705880213,24.559
8.547008547008742,24.676
6.711409395973114,24.825
29.411764705880213,24.859
60.60606060606484,24.892
60.60606060605831,24.925
88.23529411764986,24.959
60.60606060605831,24.992
58.82352941176657,25.026
117.64705882353314,25.06
90.90909090908747,25.093
121.21212121211661,25.126
90.90909090909724,25.159
88.23529411764065,25.193
93.74999999999991,25.225
88.23529411764986,25.259
60.60606060605831,25.292
57.14285714285691,25.327
30.30303030303242,25.36
15.151515151515392,25.426
19.607843137254157,25.477
121.21212121211661,25.51
147.05882352941643,25.544
187.49999999999983,25.576
205.882352941183,25.61
151.51515151514576,25.643
117.64705882353314,25.677
29.411764705883286,25.711
31.24999999999997,25.743
30.303030303029153,25.776
0,25.826
28.571428571428456,25.861
0,25.894
0,25.926
0,25.959
0,25.993
0,26.027
0,26.06
0,26.094
0,26.126
0,26.16
0,26.193
0,26.227
0,26.26
0,26.293
0,26.327
0,26.377
0,27.795
0,27.861
0,27.895
0,27.929
0,27.962
0,27.995
0,28.028
0,28.062
0,28.096
0,28.13
0,28.162
0,28.196
0,28.229
0,28.312
0,28.529
0,28.679
0,29.463
30.00000000000064,29.563
294.11764705880216,29.597
272.72727272729173,29.63
205.88235294116149,29.664
90.90909090909724,29.697
58.823529411760425,29.731
31.24999999999997,29.763
9.90099009900999,29.864
60.60606060606484,29.897
117.64705882352085,29.931
121.21212121212967,29.964
90.90909090908747,29.997
88.23529411764986,30.031
60.60606060605831,30.064
60.60606060605831,30.097
19.607843137255525,30.148
0,30.215
30.303030303029153,30.248
0,30.28
0,30.314
57.14285714285691,30.349
90.90909090908747,30.382
117.64705882353314,30.416
124.99999999999989,30.448
58.82352941176657,30.482
60.60606060605831,30.515
58.82352941176657,30.549
31.24999999999997,30.581
19.999999999999716,30.631
14.705882352940876,30.699
0,30.732
30.303030303029153,30.765
58.82352941176657,30.799
60.60606060605831,30.832
90.90909090909724,30.865
151.51515151514576,30.898
58.82352941176657,30.932
58.823529411760425,30.966
60.60606060606484,30.999
60.60606060605831,31.032
30.303030303029153,31.065
58.82352941176657,31.099
124.99999999999989,31.131
147.05882352941643,31.165
147.05882352940108,31.199
124.99999999999989,31.231
88.23529411764986,31.265
88.23529411764986,31.299
90.90909090908747,31.332
147.05882352941643,31.366
121.21212121211661,31.399
181.8181818181945,31.432
205.88235294116149,31.466
212.12121212122693,31.499
205.88235294116149,31.533
212.12121212122693,31.566
205.88235294116149,31.6
124.99999999999989,31.632
88.23529411764986,31.666
58.82352941176657,31.7
30.303030303029153,31.733
60.60606060606484,31.766
0,31.8
30.30303030303242,31.833
0,31.866
29.411764705883286,31.9
0,31.932
-29.411764705880213,31.966
0,31.999
0,32.033
-30.303030303029153,32.066
0,32.1
0,32.149
0,32.183
0,32.216
0,32.25
0,32.283
0,32.316
0,32.35
0,32.383
0,32.417
0,32.467
0,32.517
0,32.6
0,32.701
60.60606060605831,32.767
147.05882352941643,32.801
121.21212121211661,32.834
60.60606060607136,32.867
90.90909090908747,32.9
85.71428571427667,32.935
93.75000000001033,32.967
90.90909090908747,33.0
58.82352941176657,33.034
19.999999999998295,33.084
0,33.151
20.000000000001137,33.201
15.151515151514577,33.267
0,33.301
30.303030303029153,33.334
30.30303030303568,33.367
29.41176470587714,33.401
15.15151515151621,33.467
0,33.501
29.411764705883286,33.535
0,33.568
0,33.601
0,33.635
0,33.668
0,33.717
29.411764705883286,33.751
0,33.817
0,33.935
0,34.201
13.33333333333346,34.351
29.411764705883286,34.385
29.411764705883286,34.419
7.575757575757288,34.551
0,36.654
0,36.72
0.8680555555555548,37.872
58.82352941176657,37.906
60.60606060605831,37.939
60.60606060605831,37.972
30.303030303029153,38.005
20.000000000001137,38.055
0,38.172
0,38.221
19.607843137254157,38.272
0,38.305
0,38.356
0,38.389
30.30303030303568,38.422
0,38.456
-30.30303030303568,38.489
0,38.522
0,38.589
0,38.69
60.60606060605831,38.723
121.21212121211661,38.756
147.05882352941643,38.79
151.51515151514576,38.823
181.81818181817493,38.856
121.21212121211661,38.889
58.82352941176657,38.923
