y,Time
0,0.0
0,2.585
0,2.619
0,2.652
0,2.685
0,2.719
0,2.752
0,2.786
0,2.837
3,2.936
8,2.969
16,3.003
24,3.036
27,3.07
29,3.103
32,3.136
34,3.17
35,3.203
36,3.236
37,3.319
37,3.353
37,3.386
39,3.42
42,3.453
45,3.487
47,3.52
49,3.554
51,3.587
52,3.62
53,3.653
57,3.686
64,3.72
72,3.753
79,3.787
87,3.82
92,3.853
95,3.887
98,3.92
101,3.955
105,3.988
109,4.021
113,4.055
117,4.088
120,4.121
123,4.155
127,4.188
130,4.221
131,4.254
133,4.288
134,4.32
136,4.355
137,4.388
139,4.421
144,4.455
148,4.488
152,4.521
157,4.555
163,4.588
167,4.621
172,4.655
177,4.688
180,4.721
184,4.755
187,4.788
190,4.821
193,4.855
195,4.888
197,4.921
200,4.955
202,4.988
204,5.021
207,5.056
209,5.088
213,5.121
216,5.155
219,5.189
222,5.221
225,5.255
227,5.288
230,5.322
232,5.356
235,5.388
237,5.422
239,5.455
241,5.488
243,5.522
245,5.555
247,5.589
248,5.623
249,5.655
250,5.755
251,6.106
252,6.139
255,6.172
260,6.206
269,6.239
277,6.272
284,6.306
290,6.34
292,6.373
296,6.406
299,6.439
303,6.473
306,6.506
309,6.539
313,6.573
316,6.606
319,6.639
323,6.673
326,6.706
328,6.74
331,6.773
333,6.806
336,6.84
339,6.873
342,6.906
346,6.94
349,6.973
351,7.006
354,7.04
357,7.074
359,7.107
361,7.14
363,7.174
364,7.207
365,7.24
366,7.273
367,7.307
368,7.357
369,7.407
370,7.441
371,7.474
373,7.507
376,7.541
380,7.575
383,7.608
386,7.641
389,7.675
392,7.707
395,7.741
398,7.775
400,7.808
402,7.841
405,7.874
408,7.907
411,7.941
414,7.975
418,8.008
421,8.041
425,8.074
428,8.108
431,8.142
435,8.175
438,8.208
441,8.241
443,8.275
446,8.308
448,8.341
451,8.375
453,8.408
455,8.441
457,8.475
460,8.508
462,8.541
463,8.575
464,8.608
466,8.641
467,8.675
468,8.708
469,8.742
469,8.775
470,8.808
471,8.842
472,8.875
472,8.925
474,8.958
475,8.993
476,9.025
478,9.059
479,9.092
481,9.125
484,9.159
486,9.192
489,9.225
491,9.259
493,9.292
496,9.325
500,9.359
505,9.392
511,9.427
517,9.459
525,9.493
533,9.526
541,9.559
546,9.592
552,9.626
558,9.659
563,9.692
566,9.726
572,9.76
578,9.793
584,9.826
591,9.859
596,9.893
601,9.926
605,9.959
608,9.993
610,10.026
612,10.06
613,10.093
614,10.127
615,10.16
617,10.193
620,10.227
623,10.26
626,10.293
628,10.327
629,10.36
630,10.393
631,10.427
631,10.46
632,10.493
634,10.527
638,10.56
644,10.593
650,10.627
656,10.66
660,10.693
663,10.728
666,10.76
668,10.794
671,10.827
673,10.86
677,10.894
681,10.928
684,10.961
687,10.995
689,11.027
691,11.061
693,11.095
695,11.128
697,11.161
699,11.195
701,11.228
702,11.261
703,11.295
704,11.328
705,11.378
706,11.445
707,11.495
708,11.528
709,11.561
711,11.595
713,11.628
716,11.662
719,11.695
721,11.728
723,11.761
724,11.795
725,11.828
726,11.861
727,11.945
727,12.111
727,12.145
727,12.179
727,12.212
727,12.246
727,12.278
727,12.312
727,12.362
727,12.395
727,12.429
727,12.462
727,12.496
727,12.529
727,12.562
727,12.595
727,12.629
727,12.662
727,12.696
727,12.729
727,12.762
727,12.796
727,12.829
727,12.862
727,12.896
727,12.93
728,12.962
728,12.996
728,13.029
728,13.063
728,13.096
728,13.129
728,13.163
728,13.196
728,13.229
728,13.263
728,13.296
729,13.68
731,13.713
733,13.747
735,13.781
736,13.814
738,13.847
739,13.88
741,13.913
744,13.947
746,13.98
749,14.014
751,14.047
753,14.081
754,14.114
755,14.164
756,14.297
756,14.381
756,14.448
756,14.481
756,14.515
756,14.548
756,14.581
756,14.615
756,14.648
756,14.682
756,14.714
756,14.748
756,14.781
756,14.815
756,14.848
756,14.881
756,14.915
756,14.948
756,14.981
756,15.015
756,15.048
756,15.081
758,15.115
760,15.148
763,15.181
767,15.215
771,15.248
776,15.282
779,15.315
782,15.348
786,15.381
788,15.416
791,15.449
793,15.482
795,15.515
797,15.549
798,15.582
799,15.648
800,15.882
801,15.932
803,15.966
805,16.0
809,16.032
812,16.066
815,16.099
818,16.132
819,16.166
820,16.199
821,16.232
822,16.332
822,16.433
822,16.466
822,16.5
822,16.533
822,16.567
822,16.6
822,16.633
822,16.667
822,16.7
822,16.733
822,16.767
822,16.8
822,16.833
822,16.868
822,16.9
822,16.933
822,16.967
822,17.0
822,17.083
823,17.184
825,17.217
830,17.25
834,17.283
837,17.317
840,17.35
842,17.383
844,17.417
845,17.45
846,17.484
847,17.517
848,17.551
849,17.65
849,17.751
849,17.784
849,17.818
849,17.851
849,17.885
849,17.918
849,17.951
849,17.985
849,18.018
849,18.051
849,18.085
849,18.118
849,18.151
849,18.218
849,18.251
849,18.285
849,18.318
849,18.352
849,18.385
849,18.418
850,18.452
