y,Time
0,0.0
0,2.286
0,2.319
0,2.352
0,2.386
0,2.42
0,2.453
0,2.486
0,2.519
0,2.553
0,2.586
2,2.62
2,2.653
2,2.687
2,2.719
3,2.753
3,2.787
3,2.82
4,2.853
4,2.887
4,2.92
4,2.954
4,2.988
5,3.02
5,3.053
6,3.086
7,3.12
8,3.153
9,3.187
11,3.22
14,3.253
18,3.287
23,3.321
29,3.354
35,3.387
41,3.42
47,3.454
52,3.488
57,3.521
63,3.554
67,3.588
69,3.62
71,3.654
72,3.687
73,3.721
74,3.755
75,3.787
76,3.821
78,3.855
79,3.888
82,3.922
83,3.954
85,3.988
86,4.022
88,4.055
90,4.087
92,4.122
97,4.154
102,4.188
106,4.222
108,4.255
110,4.288
111,4.322
111,4.355
112,4.389
112,4.422
112,4.455
113,4.489
113,4.522
115,4.555
117,4.589
120,4.622
123,4.655
127,4.689
130,4.722
133,4.755
138,4.789
142,4.822
144,4.855
148,4.889
150,4.922
153,4.956
156,4.989
159,5.023
161,5.055
164,5.089
168,5.123
172,5.156
177,5.19
180,5.223
184,5.255
188,5.289
191,5.322
194,5.356
197,5.39
199,5.423
201,5.456
203,5.49
204,5.522
205,5.557
207,5.59
209,5.623
211,5.657
214,5.69
216,5.722
218,5.755
221,5.789
224,5.823
228,5.856
231,5.89
233,5.924
236,5.957
238,5.99
242,6.023
246,6.057
251,6.09
256,6.123
261,6.156
266,6.19
270,6.224
274,6.257
278,6.29
283,6.323
287,6.357
292,6.39
295,6.424
299,6.456
302,6.49
305,6.524
307,6.557
310,6.591
311,6.625
313,6.657
314,6.707
315,6.824
315,7.608
315,7.642
316,7.675
317,7.709
318,7.742
320,7.775
321,7.809
322,7.842
324,7.876
324,7.909
325,7.942
326,7.975
327,8.009
329,8.042
331,8.075
333,8.109
336,8.142
339,8.175
341,8.209
343,8.242
345,8.276
347,8.309
348,8.342
350,8.376
351,8.409
353,8.442
354,8.476
355,8.509
356,8.542
357,8.576
358,8.609
359,8.643
360,8.675
362,8.709
363,8.759
365,8.793
366,8.826
368,8.859
370,8.892
372,8.926
373,8.96
375,8.993
376,9.026
377,9.06
378,9.092
379,9.126
380,9.159
381,9.193
382,9.226
384,9.26
385,9.293
387,9.327
389,9.359
391,9.394
394,9.427
396,9.461
398,9.493
400,9.527
403,9.56
405,9.593
407,9.627
409,9.66
411,9.694
412,9.726
414,9.76
416,9.794
418,9.827
420,9.86
422,9.894
425,9.927
427,9.96
429,9.994
432,10.028
434,10.061
436,10.094
438,10.127
440,10.161
442,10.194
444,10.227
446,10.261
448,10.294
450,10.328
452,10.361
453,10.394
455,10.428
457,10.461
459,10.494
460,10.528
463,10.561
465,10.594
467,10.628
470,10.662
472,10.695
474,10.728
476,10.761
479,10.795
481,10.829
484,10.862
486,10.895
488,10.928
489,10.962
491,10.995
493,11.029
494,11.062
495,11.095
496,11.129
498,11.162
500,11.195
502,11.229
503,11.262
505,11.295
506,11.329
507,11.362
508,11.395
509,11.445
510,11.495
511,11.562
512,11.595
513,11.662
513,11.695
514,11.729
515,11.779
516,11.813
518,11.846
520,11.879
521,11.912
523,11.946
525,11.979
527,12.012
528,12.045
530,12.079
531,12.112
532,12.146
533,12.179
534,12.213
536,12.246
537,12.296
538,12.329
539,12.363
539,12.396
540,12.429
541,12.463
542,12.496
542,12.53
543,12.563
543,12.596
544,12.63
544,12.663
544,12.696
545,12.73
545,12.763
545,12.796
545,12.847
545,12.88
545,12.913
545,12.947
545,12.997
546,13.03
547,13.063
548,13.098
549,13.13
550,13.163
551,13.197
552,13.23
553,13.28
554,13.314
555,13.347
556,13.38
557,13.413
558,13.447
560,13.481
561,13.514
562,13.547
563,13.581
565,13.614
566,13.647
567,13.681
568,13.714
569,13.747
570,13.781
571,13.814
571,13.848
572,13.881
573,13.914
575,13.947
575,13.982
576,14.014
577,14.047
578,14.081
578,14.114
578,14.149
579,14.182
579,14.215
579,14.249
580,14.282
580,14.315
580,14.348
580,14.382
580,14.432
580,14.465
581,14.499
583,14.532
585,14.565
588,14.599
592,14.632
594,14.666
595,14.699
596,14.732
597,14.765
597,14.799
598,14.832
598,14.865
599,14.899
599,14.932
599,14.966
600,14.999
600,15.032
601,15.065
602,15.099
604,15.132
607,15.166
609,15.2
613,15.232
615,15.267
617,15.299
618,15.333
620,15.366
621,15.399
621,15.432
622,15.465
623,15.5
624,15.533
627,15.566
629,15.599
630,15.633
632,15.666
634,15.699
635,15.733
636,15.766
638,15.8
641,15.833
642,15.866
644,15.9
646,15.933
649,15.966
651,16.0
655,16.033
659,16.066
662,16.101
664,16.133
665,16.167
667,16.2
668,16.233
669,16.267
670,16.301
671,16.334
673,16.366
674,16.4
675,16.434
676,16.467
677,16.5
678,16.533
680,16.567
681,16.6
682,16.633
683,16.667
684,16.701
685,16.784
684,16.901
684,17.401
684,17.434
684,17.469
684,17.502
684,17.535
684,17.569
684,17.602
684,17.801
684,17.835
684,17.869
684,17.901
684,17.935
684,17.969
684,19.319
694,19.353
709,19.387
719,19.42
731,19.453
736,19.487
740,19.521
741,19.553
744,19.587
750,19.62
765,19.653
780,19.687
794,19.72
809,19.753
822,19.787
835,19.82
844,19.853
851,19.887
856,19.92
863,19.954
868,19.987
875,20.02
885,20.054
895,20.087
900,20.12
907,20.154
916,20.187
926,20.221
933,20.254
943,20.287
953,20.32
964,20.354
973,20.387
985,20.421
998,20.454
1010,20.488
1020,20.522
1034,20.554
1045,20.588
1060,20.622
1072,20.654
1088,20.688
1099,20.72
1114,20.754
1125,20.789
1140,20.822
1152,20.855
1163,20.889
1177,20.922
1187,20.955
1200,20.988
1209,21.022
1221,21.055
1229,21.089
1237,21.122
1246,21.155
1251,21.189
1256,21.222
1258,21.255
1259,21.289
1260,21.322
1260,21.355
1261,21.389
1263,21.422
1267,21.455
1273,21.488
1279,21.522
1287,21.556
1293,21.589
1300,21.622
1304,21.656
1310,21.689
1314,21.722
1318,21.756
1322,21.789
1326,21.822
1330,21.855
1333,21.889
1336,21.922
1339,21.956
1341,21.989
1344,22.022
1347,22.056
1349,22.089
1352,22.122
1355,22.156
1358,22.189
1361,22.223
1366,22.256
1370,22.29
1374,22.322
1378,22.356
1383,22.389
1388,22.422
1392,22.456
1397,22.49
1403,22.523
1408,22.557
1414,22.59
1419,22.623
1425,22.656
1428,22.689
1432,22.723
1436,22.756
1439,22.79
1443,22.823
1445,22.856
1446,22.89
1446,22.923
1447,22.957
1444,22.99
1438,23.023
1427,23.057
1419,23.09
1407,23.123
1396,23.156
1388,23.19
1380,23.224
1371,23.257
1365,23.29
1360,23.323
1356,23.357
1353,23.39
1351,23.424
1350,23.458
1349,23.49
1349,23.524
1349,23.557
1348,23.59
1348,23.624
1348,23.657
1348,23.69
1348,23.724
1348,23.757
1348,23.791
1348,23.824
1348,23.857
1348,23.891
1348,23.924
1348,23.958
1348,23.991
1348,24.025
1348,24.057
1348,24.091
1348,24.124
1348,24.158
