x,Time
0,0.0
3,5.055
4,5.104
5,5.138
6,5.171
7,5.204
8,5.238
10,5.271
11,5.304
12,5.338
13,5.372
14,5.405
15,5.438
16,5.488
18,5.521
19,5.555
21,5.588
22,5.622
24,5.655
27,5.689
31,5.722
33,5.755
35,5.789
36,5.822
39,5.855
42,5.888
46,5.922
50,5.955
52,5.988
54,6.022
56,6.056
58,6.089
60,6.122
63,6.156
66,6.189
68,6.222
70,6.256
72,6.289
75,6.323
79,6.356
83,6.389
86,6.423
89,6.455
92,6.489
94,6.523
98,6.556
103,6.589
105,6.622
107,6.656
108,6.689
109,6.722
110,6.772
111,6.906
112,6.956
114,6.99
116,7.023
118,7.057
121,7.09
126,7.123
132,7.156
139,7.19
147,7.223
153,7.257
158,7.29
163,7.323
168,7.357
173,7.39
177,7.424
181,7.457
186,7.49
191,7.524
194,7.557
197,7.59
201,7.624
205,7.657
209,7.69
213,7.723
219,7.758
225,7.791
230,7.824
238,7.857
246,7.891
252,7.924
255,7.957
258,7.991
259,8.024
260,8.057
261,8.091
262,8.174
263,8.525
264,8.608
265,8.708
266,8.742
267,8.775
268,8.809
269,8.842
269,8.875
270,8.909
272,8.942
275,8.975
278,9.008
280,9.042
281,9.075
282,9.109
282,9.142
283,9.175
283,9.209
283,9.242
284,9.275
284,9.309
284,9.342
284,9.392
285,9.425
285,9.459
287,9.492
288,9.526
291,9.559
294,9.592
297,9.625
300,9.659
302,9.692
304,9.726
307,9.759
310,9.792
314,9.826
317,9.859
320,9.892
323,9.926
327,9.959
332,9.993
336,10.026
338,10.06
340,10.093
342,10.126
345,10.16
348,10.193
351,10.226
354,10.26
358,10.293
363,10.327
368,10.359
372,10.393
376,10.427
380,10.46
385,10.493
388,10.527
391,10.56
394,10.593
396,10.626
400,10.66
405,10.693
409,10.727
413,10.76
418,10.793
423,10.827
428,10.86
433,10.894
440,10.927
445,10.961
451,10.994
457,11.027
463,11.06
468,11.094
473,11.128
478,11.161
482,11.194
487,11.227
493,11.261
497,11.294
502,11.327
507,11.36
511,11.394
515,11.428
518,11.46
524,11.494
530,11.527
533,11.56
535,11.594
537,11.645
539,11.678
542,11.711
544,11.744
545,11.778
546,11.811
547,11.844
548,11.877
550,11.912
553,11.945
555,11.978
558,12.012
560,12.045
562,12.078
564,12.112
566,12.145
568,12.178
570,12.212
573,12.245
577,12.278
581,12.313
584,12.345
587,12.379
589,12.412
591,12.445
593,12.478
595,12.512
597,12.545
601,12.579
604,12.612
607,12.645
610,12.679
614,12.712
618,12.746
621,12.779
623,12.812
624,12.845
625,12.878
626,12.912
627,12.946
629,12.979
630,13.012
632,13.046
635,13.079
637,13.112
640,13.146
642,13.179
644,13.212
647,13.246
649,13.279
652,13.313
654,13.346
656,13.379
658,13.412
660,13.446
662,13.479
665,13.513
668,13.546
671,13.579
674,13.613
677,13.646
680,13.68
684,13.713
688,13.747
690,13.78
691,13.813
693,13.846
696,13.88
700,13.913
705,13.947
710,13.98
714,14.014
719,14.047
725,14.08
732,14.113
737,14.147
743,14.18
746,14.213
749,14.247
754,14.28
760,14.314
764,14.347
767,14.38
769,14.414
770,14.464
771,14.497
774,14.53
777,14.564
778,14.597
779,14.631
781,14.664
785,14.697
787,14.73
788,14.764
790,14.797
794,14.83
801,14.864
808,14.897
815,14.931
820,14.964
826,14.998
833,15.031
838,15.064
844,15.098
851,15.132
859,15.165
869,15.199
881,15.232
893,15.264
905,15.298
912,15.33
923,15.365
931,15.398
939,15.432
947,15.464
957,15.498
964,15.532
971,15.565
977,15.598
983,15.632
989,15.665
994,15.698
996,15.732
998,15.765
1000,15.798
1001,15.832
1002,15.865
1002,15.898
1002,15.932
1003,15.965
1001,15.999
1001,16.032
1001,16.065
1001,16.099
1001,16.132
1001,16.165
1001,16.198
1001,16.232
1001,16.266
1001,16.299
999,16.332
998,16.365
997,16.399
997,16.432
999,16.499
1004,16.533
1009,16.566
1013,16.599
1016,16.632
1019,16.666
1024,16.699
1030,16.733
1037,16.766
1046,16.799
1050,16.833
1055,16.866
1060,16.899
1064,16.933
1067,16.966
1071,17.0
1076,17.033
1081,17.066
1084,17.099
1086,17.133
1088,17.167
1090,17.199
1092,17.233
1096,17.267
1101,17.3
1104,17.333
1108,17.367
1113,17.4
1117,17.433
1119,17.467
1122,17.5
1126,17.533
1131,17.567
1135,17.6
1139,17.634
1142,17.667
1148,17.7
1153,17.734
1156,17.767
1161,17.8
1168,17.834
1172,17.867
1176,17.9
1181,17.934
1185,17.967
1190,18.0
1194,18.034
1201,18.067
1207,18.1
1212,18.134
1219,18.167
1225,18.201
1230,18.234
1236,18.267
1242,18.301
1247,18.334
1252,18.367
1257,18.401
1261,18.434
1265,18.467
1269,18.501
1276,18.534
1281,18.568
1285,18.601
1289,18.635
1294,18.668
1298,18.701
1303,18.735
1309,18.769
1315,18.801
1322,18.835
1328,18.868
1332,18.901
1337,18.935
1342,18.968
1349,19.002
1355,19.036
1363,19.068
1371,19.102
1381,19.135
1390,19.168
1397,19.202
1404,19.235
1409,19.269
1414,19.302
1418,19.335
1420,19.368
1422,19.402
1425,19.435
1426,19.468
1428,19.502
1431,19.535
1435,19.569
1437,19.602
1439,19.635
1440,19.669
1441,19.702
1441,19.736
1442,19.769
1443,19.802
1445,19.835
1447,19.869
1449,19.902
1451,19.936
1453,19.969
1454,20.003
1454,20.036
1455,20.07
1457,20.102
1460,20.136
1461,20.169
1462,20.202
1463,20.236
1464,20.319
1464,20.421
1464,20.486
1464,20.52
1464,20.553
1464,20.603
1464,20.72
1464,20.787
1464,20.82
1464,20.853
1464,20.887
1464,20.92
1464,20.954
1464,20.987
1464,21.02
1464,21.053
1464,21.086
1464,21.12
1464,21.153
1464,21.187
1464,21.22
1464,21.254
1464,21.287
1464,21.337
1465,21.37
1465,21.42
1466,21.454
1466,21.487
1466,21.52
1467,21.554
1467,21.588
1467,21.621
1467,21.655
1468,21.687
1468,21.722
1468,21.754
1469,21.787
1469,21.821
1471,21.904
1473,21.938
1475,21.972
1476,22.005
1477,22.038
1478,22.071
1480,22.104
1480,22.138
1481,22.171
1482,22.204
1482,22.238
1482,22.289
1483,22.322
1483,22.355
1483,22.422
1483,22.488
1483,22.522
1483,22.555
1483,22.588
1483,22.622
1483,22.655
1483,22.688
1483,22.722
1483,22.755
1483,22.788
1483,22.839
1483,22.872
1483,22.905
1483,22.939
1483,22.972
1483,23.072
1483,23.139
1483,23.239
1483,23.272
1483,23.306
1483,23.339
1483,23.372
1483,23.422
1483,23.49
1483,23.539
1483,23.606
1483,23.673
1483,23.707
1483,23.756
1483,23.856
1483,24.307
1483,24.54
1482,26.375
1482,27.877
1482,27.91
1482,27.944
1482,27.978
1482,28.01
1482,28.044
1482,28.077
1482,28.11
1482,28.144
1481,28.177
1481,28.21
1481,28.244
