x,Time
1286,21.022
1277,21.055
1272,21.089
1267,21.122
1261,21.155
1258,21.189
1254,21.222
1252,21.255
1250,21.289
1247,21.322
1245,21.355
1242,21.389
1240,21.422
1237,21.455
1233,21.488
1229,21.522
1224,21.556
1221,21.589
1216,21.622
1212,21.656
1207,21.689
1205,21.722
1203,21.756
1201,21.789
1199,21.822
1198,21.855
1197,21.889
1195,21.922
1192,21.956
1189,21.989
1185,22.022
1180,22.056
1174,22.089
1167,22.122
1160,22.156
1152,22.189
1146,22.223
1136,22.256
1130,22.29
1121,22.322
1115,22.356
1110,22.389
1102,22.422
1098,22.456
1095,22.49
1090,22.523
1085,22.557
1080,22.59
1075,22.623
1067,22.656
1062,22.689
1057,22.723
1051,22.756
1046,22.79
1040,22.823
1036,22.856
1030,22.89
1026,22.923
1021,22.957
1019,22.99
1018,23.023
1016,23.057
1016,23.09
1016,23.123
1016,23.156
1016,23.19
1016,23.224
1016,23.257
1016,23.29
1016,23.323
1016,23.357
1016,23.39
1016,23.424
1016,23.458
1016,23.49
1009,23.524
1002,23.557
992,23.59
986,23.624
979,23.657
973,23.69
967,23.724
963,23.757
959,23.791
954,23.824
951,23.857
946,23.891
942,23.924
935,23.958
930,23.991
922,24.025
916,24.057
907,24.091
901,24.124
896,24.158
888,24.191
882,24.224
877,24.258
868,24.291
862,24.324
853,24.359
846,24.392
838,24.425
831,24.459
825,24.492
817,24.525
811,24.559
804,24.592
797,24.625
789,24.659
784,24.691
776,24.725
771,24.759
766,24.792
758,24.825
753,24.859
749,24.892
741,24.925
737,24.959
733,24.992
731,25.025
730,25.059
729,25.092
729,25.125
729,25.159
728,25.192
728,25.225
728,25.259
728,25.292
728,25.325
728,25.359
727,25.392
722,25.425
717,25.459
708,25.492
702,25.525
697,25.559
690,25.592
684,25.626
677,25.659
666,25.693
658,25.726
650,25.76
646,25.793
643,25.827
642,25.859
641,25.893
640,25.926
640,25.959
639,25.993
639,26.027
638,26.059
637,26.093
637,26.126
637,26.16
637,26.193
637,26.226
637,26.261
637,26.293
637,26.326
637,26.36
637,26.394
626,26.426
617,26.46
605,26.493
598,26.526
592,26.56
589,26.594
584,26.627
581,26.661
578,26.693
576,26.727
575,26.761
574,26.793
574,26.827
573,26.861
572,26.894
571,26.927
567,26.961
564,26.994
561,27.027
559,27.061
556,27.094
554,27.128
551,27.16
548,27.194
546,27.228
544,27.261
542,27.294
540,27.327
539,27.361
537,27.394
536,27.428
535,27.461
534,27.494
534,27.527
534,27.561
534,27.594
534,27.628
534,27.662
534,27.694
534,27.728
534,27.762
534,27.794
535,27.828
543,27.862
551,27.895
562,27.929
570,27.962
581,27.995
589,28.029
595,28.062
602,28.095
605,28.129
608,28.162
611,28.195
614,28.229
619,28.262
624,28.296
628,28.329
635,28.362
640,28.395
645,28.429
653,28.462
659,28.495
665,28.529
673,28.563
679,28.595
686,28.629
691,28.662
697,28.695
703,28.729
708,28.762
714,28.795
721,28.829
728,28.862
735,28.896
740,28.93
748,28.962
757,28.996
765,29.029
774,29.063
782,29.096
792,29.13
801,29.163
810,29.197
819,29.231
