y,Time
0,0.0
0,2.052
0,2.085
0,2.119
0,2.152
0,2.186
0,2.219
0,2.252
0,2.286
0,2.319
0,2.352
0,2.386
0,2.419
0,2.453
0,2.486
0,2.519
0,2.553
0,2.585
0,2.619
0,2.653
0,2.686
0,2.719
0,2.753
0,2.786
0,2.819
0,2.854
0,2.886
0,2.92
0,2.953
0,2.986
0,3.02
0,3.053
0,3.086
0,3.12
0,3.153
0,3.186
0,3.237
0,3.337
0,3.67
0,3.704
0,3.737
0,3.771
0,3.804
0,3.837
0,3.871
0,3.904
0,3.938
0,3.971
0,4.004
0,4.037
0,4.071
0,4.138
0,4.187
0,4.238
0,4.271
0,4.305
0,4.338
0,4.371
0,4.405
0,4.438
0,4.471
0,4.505
0,4.571
0,4.688
0,4.955
3,4.988
4,5.022
6,5.055
9,5.088
10,5.122
12,5.155
13,5.189
14,5.222
15,5.255
16,5.289
18,5.322
19,5.355
20,5.389
20,5.422
21,5.456
21,5.489
21,5.522
21,5.556
21,5.589
21,5.622
21,5.656
21,5.689
21,5.723
21,5.756
21,5.789
21,5.823
21,5.856
21,5.889
21,5.923
21,5.956
21,5.989
21,6.023
22,6.056
22,6.089
22,6.123
22,6.156
22,6.189
22,6.223
23,6.256
23,6.29
24,6.323
24,6.356
25,6.39
25,6.423
26,6.457
27,6.49
28,6.524
29,6.557
31,6.59
33,6.623
34,6.657
36,6.69
37,6.723
39,6.757
41,6.79
43,6.823
45,6.856
46,6.89
47,6.924
48,6.957
49,6.99
50,7.024
52,7.058
53,7.09
53,7.124
54,7.158
54,7.191
55,7.224
55,7.258
55,7.29
55,7.324
56,7.358
56,7.391
56,7.424
56,7.458
56,7.491
56,7.524
57,7.558
57,7.591
58,7.624
59,7.658
59,7.691
60,7.724
60,7.758
61,7.791
61,7.824
62,7.858
63,7.891
65,7.925
67,7.958
68,7.991
70,8.024
71,8.058
72,8.091
73,8.125
74,8.158
76,8.191
77,8.225
80,8.258
83,8.292
86,8.326
89,8.358
91,8.391
93,8.425
94,8.458
95,8.492
96,8.525
97,8.558
98,8.592
98,8.625
99,8.658
99,8.692
99,8.725
100,8.758
100,8.792
100,8.825
101,8.859
101,8.892
101,8.925
102,8.959
102,8.993
102,9.025
103,9.059
103,9.092
104,9.126
104,9.159
105,9.192
107,9.226
109,9.259
111,9.293
114,9.326
115,9.359
117,9.392
117,9.426
118,9.459
119,9.493
120,9.526
121,9.56
124,9.593
125,9.626
128,9.66
135,9.693
139,9.726
140,9.76
141,9.793
142,9.826
142,9.86
143,9.894
143,9.927
143,9.96
144,9.993
145,10.026
146,10.06
148,10.093
152,10.126
155,10.16
158,10.194
161,10.227
164,10.26
166,10.293
169,10.327
171,10.36
174,10.394
176,10.428
178,10.46
180,10.494
181,10.528
183,10.561
186,10.594
188,10.627
190,10.661
192,10.694
194,10.727
197,10.761
199,10.794
201,10.828
203,10.861
204,10.894
206,10.928
207,10.961
209,10.994
211,11.028
213,11.062
215,11.094
217,11.128
219,11.161
221,11.194
223,11.228
224,11.262
225,11.294
227,11.329
228,11.362
230,11.394
231,11.428
233,11.461
235,11.494
237,11.528
238,11.562
240,11.595
242,11.628
243,11.662
245,11.696
247,11.728
249,11.762
251,11.795
253,11.828
255,11.861
258,11.895
260,11.929
263,11.962
265,11.995
267,12.029
269,12.063
271,12.095
272,12.129
273,12.163
274,12.195
276,12.229
277,12.263
278,12.296
279,12.329
280,12.363
281,12.396
282,12.43
283,12.463
284,12.496
285,12.529
286,12.579
287,12.612
288,12.646
289,12.679
290,12.713
291,12.746
292,12.779
293,12.896
294,13.631
295,13.697
296,13.83
297,13.964
298,14.048
299,14.098
300,14.131
301,14.164
302,14.198
303,14.231
304,14.264
305,14.298
306,14.331
307,14.364
308,14.414
310,14.448
312,14.481
314,14.514
317,14.548
320,14.582
322,14.615
324,14.648
325,14.681
327,14.714
328,14.748
