x,Time
0,0.0
5,2.585
18,2.619
32,2.652
45,2.685
53,2.719
56,2.752
57,2.786
58,2.837
59,2.936
59,2.969
60,3.003
63,3.036
65,3.07
66,3.103
67,3.136
67,3.17
67,3.203
67,3.236
67,3.319
68,3.353
72,3.386
85,3.42
100,3.453
110,3.487
114,3.52
116,3.554
117,3.587
120,3.62
130,3.653
151,3.686
167,3.72
180,3.753
190,3.787
198,3.82
206,3.853
214,3.887
220,3.92
222,3.955
224,3.988
224,4.021
226,4.055
230,4.088
238,4.121
247,4.155
257,4.188
266,4.221
277,4.254
287,4.288
297,4.32
307,4.355
316,4.388
321,4.421
325,4.455
330,4.488
335,4.521
342,4.555
350,4.588
356,4.621
363,4.655
369,4.688
374,4.721
383,4.755
393,4.788
403,4.821
407,4.855
407,4.888
407,4.921
407,4.955
407,4.988
407,5.021
407,5.056
407,5.088
407,5.121
407,5.155
407,5.189
407,5.221
407,5.255
407,5.288
407,5.322
407,5.356
407,5.388
407,5.422
407,5.455
407,5.488
407,5.522
407,5.555
407,5.589
407,5.623
407,5.655
407,5.755
407,6.106
407,6.139
407,6.172
407,6.206
410,6.239
419,6.272
425,6.306
428,6.34
429,6.373
430,6.406
431,6.439
432,6.473
432,6.506
433,6.539
433,6.573
433,6.606
433,6.639
433,6.673
433,6.706
433,6.74
433,6.773
433,6.806
433,6.84
432,6.873
432,6.906
432,6.94
431,6.973
428,7.006
421,7.04
414,7.074
407,7.107
403,7.14
400,7.174
398,7.207
397,7.24
396,7.273
396,7.307
395,7.357
395,7.407
395,7.441
395,7.474
395,7.507
394,7.541
394,7.575
394,7.608
393,7.641
393,7.675
393,7.707
393,7.741
393,7.775
393,7.808
393,7.841
393,7.874
393,7.907
393,7.941
393,7.975
393,8.008
393,8.041
393,8.074
393,8.108
393,8.142
393,8.175
393,8.208
393,8.241
393,8.275
393,8.308
393,8.341
393,8.375
393,8.408
393,8.441
393,8.475
393,8.508
393,8.541
393,8.575
393,8.608
393,8.641
392,8.675
391,8.708
386,8.742
381,8.775
376,8.808
372,8.842
370,8.875
369,8.925
369,8.958
369,8.993
368,9.025
368,9.059
368,9.092
368,9.125
368,9.159
368,9.192
368,9.225
368,9.259
368,9.292
368,9.325
368,9.359
368,9.392
368,9.427
368,9.459
368,9.493
368,9.526
368,9.559
368,9.592
366,9.626
360,9.659
355,9.692
353,9.726
352,9.76
352,9.793
351,9.826
351,9.859
351,9.893
351,9.926
351,9.959
352,9.993
357,10.026
363,10.06
371,10.093
377,10.127
385,10.16
396,10.193
406,10.227
419,10.26
430,10.293
436,10.327
442,10.36
445,10.393
447,10.427
449,10.46
450,10.493
451,10.527
451,10.56
452,10.593
452,10.627
452,10.66
452,10.693
452,10.728
454,10.76
455,10.794
455,10.827
455,10.86
455,10.894
455,10.928
455,10.961
455,10.995
455,11.027
455,11.061
455,11.095
455,11.128
455,11.161
455,11.195
455,11.228
455,11.261
455,11.295
455,11.328
455,11.378
455,11.445
455,11.495
455,11.528
455,11.561
455,11.595
455,11.628
455,11.662
455,11.695
455,11.728
455,11.761
455,11.795
455,11.828
455,11.861
455,11.945
461,12.111
474,12.145
482,12.179
487,12.212
491,12.246
495,12.278
500,12.312
503,12.362
510,12.395
513,12.429
515,12.462
517,12.496
