x,Time
0,0.0
3,2.052
5,2.085
7,2.119
9,2.152
12,2.186
15,2.219
18,2.252
20,2.286
23,2.319
28,2.352
33,2.386
40,2.419
46,2.453
51,2.486
59,2.519
64,2.553
70,2.585
76,2.619
81,2.653
87,2.686
95,2.719
101,2.753
109,2.786
116,2.819
123,2.854
131,2.886
138,2.92
143,2.953
146,2.986
149,3.02
152,3.053
153,3.086
155,3.12
156,3.153
157,3.186
158,3.237
159,3.337
160,3.67
161,3.704
162,3.737
164,3.771
167,3.804
169,3.837
171,3.871
172,3.904
174,3.938
175,3.971
176,4.004
177,4.037
178,4.071
179,4.138
180,4.187
181,4.238
183,4.271
186,4.305
188,4.338
189,4.371
190,4.405
191,4.438
192,4.471
193,4.505
194,4.571
195,4.688
196,4.955
197,4.988
198,5.022
199,5.055
200,5.088
200,5.122
201,5.155
202,5.189
202,5.222
203,5.255
204,5.289
206,5.322
207,5.355
208,5.389
210,5.422
213,5.456
217,5.489
221,5.522
225,5.556
230,5.589
235,5.622
240,5.656
245,5.689
250,5.723
255,5.756
260,5.789
265,5.823
271,5.856
276,5.889
282,5.923
288,5.956
294,5.989
301,6.023
309,6.056
316,6.089
325,6.123
332,6.156
339,6.189
346,6.223
351,6.256
357,6.29
363,6.323
370,6.356
379,6.39
389,6.423
398,6.457
407,6.49
416,6.524
423,6.557
431,6.59
437,6.623
442,6.657
446,6.69
451,6.723
456,6.757
462,6.79
468,6.823
473,6.856
477,6.89
481,6.924
486,6.957
491,6.99
498,7.024
506,7.058
513,7.09
521,7.124
528,7.158
536,7.191
542,7.224
547,7.258
551,7.29
556,7.324
561,7.358
565,7.391
568,7.424
572,7.458
579,7.491
584,7.524
591,7.558
598,7.591
605,7.624
613,7.658
621,7.691
630,7.724
636,7.758
641,7.791
647,7.824
651,7.858
655,7.891
658,7.925
661,7.958
666,7.991
672,8.024
677,8.058
684,8.091
691,8.125
700,8.158
708,8.191
716,8.225
724,8.258
731,8.292
738,8.326
744,8.358
751,8.391
758,8.425
763,8.458
768,8.492
774,8.525
780,8.558
787,8.592
794,8.625
800,8.658
807,8.692
814,8.725
821,8.758
829,8.792
835,8.825
843,8.859
849,8.892
855,8.925
862,8.959
868,8.993
876,9.025
884,9.059
892,9.092
900,9.126
905,9.159
913,9.192
920,9.226
926,9.259
934,9.293
941,9.326
947,9.359
953,9.392
956,9.426
960,9.459
966,9.493
970,9.526
973,9.56
979,9.593
983,9.626
989,9.66
993,9.693
997,9.726
1003,9.76
1008,9.793
1015,9.826
1023,9.86
1030,9.894
1038,9.927
1046,9.96
1052,9.993
1059,10.026
1064,10.06
1069,10.093
1075,10.126
1081,10.16
1089,10.194
1097,10.227
1106,10.26
1115,10.293
1124,10.327
1133,10.36
1140,10.394
1147,10.428
1154,10.46
1160,10.494
1167,10.528
1172,10.561
1178,10.594
1184,10.627
1188,10.661
1192,10.694
1197,10.727
1203,10.761
1207,10.794
1211,10.828
1215,10.861
1220,10.894
1226,10.928
1232,10.961
1239,10.994
1248,11.028
1253,11.062
1261,11.094
1269,11.128
1276,11.161
1281,11.194
1287,11.228
1293,11.262
1298,11.294
1303,11.329
1309,11.362
1313,11.394
1316,11.428
1319,11.461
1322,11.494
1325,11.528
1328,11.562
1331,11.595
1332,11.628
1334,11.662
1336,11.696
1341,11.728
1346,11.762
1350,11.795
1354,11.828
1357,11.861
1361,11.895
1365,11.929
1368,11.962
1371,11.995
1377,12.029
1382,12.063
1386,12.095
1389,12.129
1390,12.163
1393,12.195
1402,12.229
1406,12.263
1408,12.296
1410,12.329
1414,12.363
1417,12.396
1419,12.43
1421,12.463
1422,12.496
1423,12.529
1424,12.579
1424,12.612
1425,12.646
1425,12.679
1425,12.713
1425,12.746
1425,12.779
1425,12.896
1425,13.631
1425,13.697
1425,13.83
1425,13.964
1425,14.048
1425,14.098
1425,14.131
1425,14.164
1425,14.198
1425,14.231
1425,14.264
1425,14.298
1425,14.331
1425,14.364
1425,14.414
1424,14.448
1424,14.481
1423,14.514
1423,14.548
1422,14.582
1422,14.615
1421,14.648
1421,14.681
1420,14.714
1419,14.748
1418,14.781
1418,14.815
1417,14.848
1417,14.882
1417,14.915
1417,14.948
1418,14.981
1418,15.016
1418,15.048
1419,15.082
1419,15.115
1419,15.148
